Quarter,Time,Tm,Detail,PHI,ATL
1.0,2:44,Falcons,Roddy White 2 yard pass from Matt Ryan (Matt Bryant kick),0,7
2.0,10:54,Eagles,Jeremy Maclin 5 yard pass from Michael Vick (Alex Henery kick),7,7
,6:46,Eagles,Alex Henery 22 yard field goal,10,7
,0:44,Falcons,Tony Gonzalez 4 yard pass from Matt Ryan (Matt Bryant kick),10,14
3.0,11:56,Falcons,Tony Gonzalez 17 yard pass from Matt Ryan (Matt Bryant kick),10,21
,10:00,Eagles,Jeremy Maclin 36 yard pass from Michael Vick (Alex Henery kick),17,21
,7:52,Eagles,LeSean McCoy 8 yard rush (Alex Henery kick),24,21
,1:59,Eagles,LeSean McCoy 2 yard rush (Alex Henery kick),31,21
4.0,10:45,Falcons,Ovie Mughelli 1 yard pass from Matt Ryan (Matt Bryant kick),31,28
,4:48,Falcons,Michael Turner 3 yard rush (Matt Bryant kick),31,35
