Unnamed: 0,PHI,ATL
First Downs,27,20
Rush-Yds-TDs,30-133-2,29-138-1
Cmp-Att-Yd-TD-INT,26-37-314-2-1,17-28-195-4-2
Sacked-Yards,0-0,4-15
Net Pass Yards,314,180
Total Yards,447,318
Fumbles-Lost,3-2,0-0
Turnovers,3,2
Penalties-Yards,4-20,7-57
Third Down Conv.,5-11,6-13
Fourth Down Conv.,0-1,0-0
Time of Possession,30:03,29:57
