Quarter,Time,Down,ToGo,Location,PHI,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,ATL 35,0,0,"Matt Bosher kicks off 64 yards, returned by Dion Lewis for 20 yards (tackle by Kroy Biermann)",0.000,0.340
1,14:54,1,10,PHI 21,0,0,Michael Vick pass complete short left to DeSean Jackson for 11 yards (tackle by Kelvin Hayden),0.340,1.070
1,14:19,1,10,PHI 32,0,0,Michael Vick right end for 7 yards (tackle by Curtis Lofton),1.070,1.470
1,13:38,2,3,PHI 39,0,0,LeSean McCoy left end for 2 yards (tackle by Dunta Robinson),1.470,1.030
1,12:57,3,1,PHI 41,0,0,LeSean McCoy left tackle for -1 yards (tackle by Dunta Robinson and Sean Weatherspoon),1.030,-0.720
1,12:26,4,2,PHI 40,0,0,"Chas Henry punts 49 yards, fair catch by Eric Weems",-0.720,0.370
1,12:18,1,10,ATL 11,0,0,Michael Turner right guard for 8 yards (tackle by Moise Fokou),-0.370,0.170
1,11:42,2,2,ATL 19,0,0,Michael Turner right guard for 15 yards (tackle by Jarrad Page),0.170,1.200
1,11:04,1,10,ATL 34,0,0,Matt Ryan pass incomplete deep right intended for Julio Jones,1.200,0.660
1,10:58,2,10,ATL 34,0,0,Michael Turner right guard for -2 yards (tackle by Cullen Jenkins),0.660,-0.300
1,10:22,3,12,ATL 32,0,0,Matt Ryan pass complete short middle to Julio Jones for 15 yards (tackle by Jarrad Page),-0.300,2.060
1,9:52,1,10,ATL 47,0,0,Michael Turner left tackle for 4 yards (tackle by Jamar Chaney),2.060,2.060
1,9:13,2,6,PHI 49,0,0,Michael Turner right tackle for 1 yard (tackle by Casey Matthews and Juqua Parker),2.060,1.490
1,8:33,3,5,PHI 48,0,0,Matt Ryan sacked by Cullen Jenkins for -7 yards,1.490,-0.390
1,8:01,4,12,ATL 45,0,0,"Matt Bosher punts 36 yards, fair catch by DeSean Jackson",-0.390,-0.150
1,7:53,1,10,PHI 19,0,0,Michael Vick pass incomplete short left intended for DeSean Jackson,0.150,-0.390
1,7:47,2,10,PHI 19,0,0,Michael Vick pass complete short right to Brent Celek for 2 yards (tackle by Sean Weatherspoon),-0.390,-0.810
1,7:02,3,8,PHI 21,0,0,Michael Vick pass incomplete deep left intended for Jason Avant,-0.810,-1.960
1,6:56,4,8,PHI 21,0,0,"Chas Henry punts 36 yards, returned by Eric Weems for 19 yards (tackle by Jason Avant)",-1.960,-3.050
1,6:42,1,10,PHI 38,0,0,Matt Ryan pass complete short right to Roddy White for 4 yards (tackle by Asante Samuel),3.050,3.050
1,6:15,2,6,PHI 34,0,0,Matt Ryan pass complete short left to Tony Gonzalez for 15 yards (tackle by Jamar Chaney and Jarrad Page),3.050,4.310
1,5:29,1,10,PHI 19,0,0,Michael Turner left tackle for 9 yards (tackle by Jarrad Page),4.310,5.360
1,4:47,2,1,PHI 10,0,0,"Michael Turner right end for 6 yards (tackle by Casey Matthews). Penalty on Cullen Jenkins: Personal Foul, 2 yards",5.360,6.740
1,4:13,1,2,PHI 2,0,0,Michael Turner right end for no gain (tackle by Jamar Chaney and Casey Matthews),6.740,5.720
1,3:28,2,2,PHI 2,0,0,Michael Turner up the middle for no gain (tackle by Casey Matthews),5.720,4.950
1,2:51,3,2,PHI 2,0,6,"Matt Ryan pass complete short middle to Roddy White for 2 yards, touchdown",4.950,7.000
1,,,,PHI 2,0,7,Matt Bryant kicks extra point good,0.000,0.000
1,,,,ATL 35,0,7,"Matt Bosher kicks off 69 yards, returned by Dion Lewis for 20 yards (tackle by Kroy Biermann)",0.000,-0.140
1,2:39,1,10,PHI 16,0,7,Michael Vick pass complete short middle to Jeremy Maclin for 20 yards (tackle by James Sanders),-0.140,1.330
1,2:06,1,10,PHI 36,0,7,Jeremy Maclin right end for 1 yard (tackle by Brent Grimes),1.330,0.930
1,1:25,2,9,PHI 37,0,7,Ronnie Brown up the middle for 11 yards (tackle by Sean Weatherspoon),0.930,2.130
1,0:52,1,10,PHI 48,0,7,LeSean McCoy up the middle for 5 yards (tackle by William Moore),2.130,2.260
1,0:14,2,5,ATL 47,0,7,Michael Vick pass complete short left to DeSean Jackson for 10 yards (tackle by Dunta Robinson),2.260,3.120
Quarter,Time,Down,ToGo,Location,PHI,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,ATL 37,0,7,Michael Vick pass complete short right to Jeremy Maclin for 6 yards (tackle by Brent Grimes),3.120,3.380
2,14:25,2,4,ATL 31,0,7,LeSean McCoy left end for 6 yards (tackle by Curtis Lofton),3.380,3.910
2,13:46,1,10,ATL 25,0,7,Michael Vick pass complete short middle to LeSean McCoy for 10 yards (tackle by Sean Weatherspoon),3.910,4.580
2,13:04,1,10,ATL 15,0,7,Michael Vick left guard for 7 yards (tackle by Kroy Biermann),4.580,5.220
2,12:26,2,3,ATL 8,0,7,Ronnie Brown up the middle for no gain (tackle by Curtis Lofton),5.220,4.450
2,11:41,3,3,ATL 8,0,7,"Michael Vick pass incomplete short left intended for DeSean Jackson. Penalty on John Abraham: Defensive Offside, 4 yards (no play)",4.450,6.280
2,11:37,1,4,ATL 4,0,7,Ronnie Brown right tackle for -1 yards (tackle by Ray Edwards),6.280,5.150
2,11:00,2,5,ATL 5,6,7,"Michael Vick pass complete short right to Jeremy Maclin for 5 yards, touchdown",5.150,7.000
2,,,,ATL 2,7,7,Alex Henery kicks extra point good,0.000,0.000
2,,,,PHI 35,7,7,"Alex Henery kicks off 65 yards, touchback",0.000,0.280
2,10:49,1,10,ATL 20,7,7,Matt Ryan pass incomplete deep right intended for Julio Jones (defended by Asante Samuel),0.280,-0.270
