Unnamed: 0,MIA,JAX
First Downs,17,19
Rush-Yds-TDs,16-42-0,33-123-0
Cmp-Att-Yd-TD-INT,30-44-359-2-0,18-33-273-2-0
Sacked-Yards,2-15,0-0
Net Pass Yards,344,273
Total Yards,386,396
Fumbles-Lost,1-0,0-0
Turnovers,0,0
Penalties-Yards,13-112,9-93
Third Down Conv.,5-15,5-14
Fourth Down Conv.,0-1,0-0
Time of Possession,29:52,30:08
