Quarter,Time,Tm,Detail,PHI,NWE
1.0,7:55,Eagles,Jake Elliott 25 yard field goal,3,0
,4:17,Patriots,Stephen Gostkowski 26 yard field goal,3,3
,2:34,Eagles,Alshon Jeffery 34 yard pass from Nick Foles (Jake Elliott kick failed),9,3
2.0,8:48,Eagles,LeGarrette Blount 21 yard rush (pass failed),15,3
,7:24,Patriots,Stephen Gostkowski 45 yard field goal,15,6
,2:04,Patriots,James White 26 yard rush (Stephen Gostkowski kick failed),15,12
,0:34,Eagles,Nick Foles 1 yard pass from Trey Burton (Jake Elliott kick),22,12
3.0,12:15,Patriots,Rob Gronkowski 5 yard pass from Tom Brady (Stephen Gostkowski kick),22,19
,7:18,Eagles,Corey Clement 22 yard pass from Nick Foles (Jake Elliott kick),29,19
,3:23,Patriots,Chris Hogan 26 yard pass from Tom Brady (Stephen Gostkowski kick),29,26
4.0,14:09,Eagles,Jake Elliott 42 yard field goal,32,26
,9:22,Patriots,Rob Gronkowski 4 yard pass from Tom Brady (Stephen Gostkowski kick),32,33
,2:21,Eagles,Zach Ertz 11 yard pass from Nick Foles (pass failed),38,33
,1:05,Eagles,Jake Elliott 46 yard field goal,41,33
