Quarter,Time,Down,ToGo,Location,PHI,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss and deferred, Eagles to receive the opening kickoff.",,
1,15:00,,,NWE 35,0,0,"Stephen Gostkowski kicks off 64 yards, returned by Corey Clement for 25 yards (tackle by Patrick Chung)",0.000,0.670
1,14:54,1,10,PHI 26,0,0,Nick Foles pass complete short right to Nelson Agholor for 4 yards,0.670,0.670
1,14:20,2,6,PHI 30,0,0,Nick Foles pass complete short right to Nelson Agholor for 2 yards (tackle by Stephon Gilmore),0.670,0.230
1,13:37,3,4,PHI 32,0,0,Nick Foles pass complete short left to Alshon Jeffery for 17 yards (tackle by Eric Rowe),0.230,2.190
1,13:12,1,10,PHI 49,0,0,LeGarrette Blount right tackle for -2 yards,2.190,1.380
1,12:36,2,12,PHI 47,0,0,Nick Foles pass incomplete deep right intended for Torrey Smith (defended by Devin McCourty),1.380,0.700
1,12:30,3,12,PHI 47,0,0,Nick Foles pass complete short middle to Torrey Smith for 15 yards (tackle by Eric Rowe),0.700,3.050
1,11:47,1,10,NWE 38,0,0,Nick Foles pass complete short middle to Zach Ertz for 7 yards (tackle by Patrick Chung),3.050,3.450
1,11:07,2,3,NWE 31,0,0,Jay Ajayi right end for 4 yards (tackle by James Harrison and Elandon Roberts),3.450,3.780
1,10:29,1,10,NWE 27,0,0,Jay Ajayi right tackle for 6 yards,3.780,4.040
1,9:51,2,4,NWE 21,0,0,Nick Foles pass complete short right to Corey Clement for 16 yards (tackle by Elandon Roberts and Duron Harmon),4.040,6.060
1,9:07,1,5,NWE 5,0,0,LeGarrette Blount right guard for 3 yards (tackle by Lawrence Guy),6.060,5.720
1,8:30,2,2,NWE 2,0,0,"Penalty on Zach Ertz: False Start, 5 yards (no play)",5.720,4.760
1,8:09,2,7,NWE 7,0,0,Nick Foles pass incomplete short left intended for Nelson Agholor,4.760,3.810
1,8:03,3,7,NWE 7,0,0,Nick Foles pass incomplete short left intended for Alshon Jeffery (defended by Eric Rowe),3.810,2.970
1,7:58,4,7,NWE 7,3,0,Jake Elliott 25 yard field goal good,2.970,3.000
1,7:55,,,PHI 35,3,0,"Jake Elliott kicks off 65 yards, touchback",0.000,0.610
1,7:55,1,10,NWE 25,3,0,Tom Brady pass incomplete short left intended for Brandin Cooks,0.610,0.060
1,7:52,2,10,NWE 25,3,0,Tom Brady pass complete short left to James White for 15 yards (tackle by Malcolm Jenkins),0.060,1.600
1,7:36,1,10,NWE 40,3,0,"Tom Brady pass complete short left to James White for 4 yards (tackle by Nigel Bradham). Penalty on Patrick Robinson: Defensive 12 On-field, 5 yards (no play)",1.600,2.330
1,7:15,1,5,NWE 45,3,0,Tom Brady pass complete short left to Chris Hogan for 28 yards (tackle by Corey Graham and Rodney McLeod),2.330,3.780
1,6:45,1,10,PHI 27,3,0,Chris Hogan left end for 4 yards (tackle by Jalen Mills),3.780,3.770
1,6:20,2,6,PHI 23,3,0,Tom Brady pass complete short middle to Rob Gronkowski for 9 yards (tackle by Rodney McLeod),3.770,4.650
1,5:39,1,10,PHI 14,3,0,Tom Brady pass complete short middle to James White for 6 yards (tackle by Nigel Bradham),4.650,5.090
1,5:07,2,4,PHI 8,3,0,James White middle for no gain (tackle by Nigel Bradham),5.090,4.280
1,4:25,3,4,PHI 8,3,0,Tom Brady pass incomplete short middle intended for Rob Gronkowski (defended by Jalen Mills),4.280,2.980
1,4:20,4,4,PHI 8,3,3,Stephen Gostkowski 26 yard field goal good,2.980,3.000
1,4:17,,,NWE 35,3,3,"Stephen Gostkowski kicks off 63 yards, returned by Kenjon Barner for 21 yards (tackle by Brandon King)",0.000,0.480
1,4:12,1,10,PHI 23,3,3,Nick Foles pass complete short left to Nelson Agholor for 7 yards (tackle by Eric Rowe),0.480,0.880
1,3:31,2,3,PHI 30,3,3,LeGarrette Blount middle for 36 yards (tackle by Duron Harmon),0.880,3.310
1,2:41,1,10,NWE 34,9,3,"Nick Foles pass complete deep left to Alshon Jeffery for 34 yards, touchdown",3.310,7.000
1,2:34,,,NWE 15,9,3,Jake Elliott kicks extra point no good,0.000,-1.000
1,2:34,,,PHI 35,9,3,"Jake Elliott kicks off 64 yards, returned by Dion Lewis for 17 yards (tackle by Najee Goode)",0.000,0.040
1,2:30,1,10,NWE 18,9,3,Dion Lewis middle for 8 yards (tackle by Mychal Kendricks),0.040,0.680
1,2:02,2,2,NWE 26,9,3,"Penalty on Rob Gronkowski: False Start, 5 yards (no play)",0.680,0.010
1,1:46,2,7,NWE 21,9,3,Tom Brady pass incomplete deep middle intended for Chris Hogan,0.010,-0.790
1,1:41,3,7,NWE 21,9,3,Tom Brady pass complete deep left to Danny Amendola for 50 yards (tackle by Ronald Darby),-0.790,3.640
1,1:02,1,10,PHI 29,9,3,Tom Brady pass complete short right to Chris Hogan for 12 yards (tackle by Jalen Mills),3.640,4.440
1,0:39,1,10,PHI 17,9,3,James White left guard for 6 yards (tackle by Rodney McLeod),4.440,4.890
1,0:09,2,4,PHI 11,9,3,James White middle for 2 yards (tackle by Nigel Bradham and Corey Graham),4.890,4.570
Quarter,Time,Down,ToGo,Location,PHI,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,2,PHI 9,9,3,Brandin Cooks right end for 1 yard (tackle by Rodney McLeod),4.570,2.990
2,14:18,4,1,PHI 8,9,3,Stephen Gostkowski 26 yard field goal no good,2.990,-0.280
2,14:13,1,10,PHI 20,9,3,Jay Ajayi right end for 2 yards (tackle by Devin McCourty and Patrick Chung),0.280,0.000
2,13:31,2,8,PHI 22,9,3,Nick Foles pass incomplete short right intended for Corey Clement,0.000,-0.690
2,13:23,3,8,PHI 22,9,3,Nick Foles pass incomplete short right intended for Zach Ertz (defended by Devin McCourty),-0.690,-1.900
2,13:16,4,8,PHI 22,9,3,"Donnie Jones punts 41 yards, fair catch by Danny Amendola",-1.900,-1.400
2,13:11,1,10,NWE 37,9,3,Tom Brady pass complete deep left to Brandin Cooks for 23 yards (tackle by Malcolm Jenkins),1.400,2.920
2,12:49,1,10,PHI 40,9,3,Tom Brady pass incomplete short left intended for James White (defended by Malcolm Jenkins),2.920,2.370
2,12:45,2,10,PHI 40,9,3,Dion Lewis middle for 5 yards (tackle by Nigel Bradham and Corey Graham),2.370,2.340
2,12:04,3,5,PHI 35,9,3,Danny Amendola pass incomplete short right intended for Tom Brady,2.340,0.980
2,11:58,4,5,PHI 35,9,3,Tom Brady pass incomplete deep right intended for Rob Gronkowski (defended by Jalen Mills),0.980,-1.270
2,11:53,1,10,PHI 35,9,3,Jay Ajayi right tackle for -1 yards (tackle by Trey Flowers and Elandon Roberts),1.270,0.590
2,11:15,2,11,PHI 34,9,3,Jay Ajayi left tackle for 4 yards (tackle by Devin McCourty),0.590,0.430
2,10:30,3,7,PHI 38,9,3,Nick Foles pass complete short middle to Zach Ertz for 19 yards (tackle by Jordan Richards),0.430,2.720
2,9:45,1,10,NWE 43,9,3,Nick Foles pass incomplete short right intended for Alshon Jeffery,2.720,2.180
2,9:40,2,10,NWE 43,9,3,Nick Foles pass complete deep right to Alshon Jeffery for 22 yards (tackle by Stephon Gilmore),2.180,4.170
2,8:55,1,10,NWE 21,15,3,"LeGarrette Blount left end for 21 yards, touchdown",4.170,7.000
2,8:48,,,NWE 2,15,3,"Two Point Attempt: Nick Foles pass incomplete intended for Alshon Jeffery, conversion fails",0.000,-1.000
2,8:48,,,PHI 35,15,3,"Jake Elliott kicks off 65 yards, touchback",0.000,0.610
2,8:48,1,10,NWE 25,15,3,Tom Brady pass complete short right to Rex Burkhead for 46 yards (tackle by Corey Graham),0.610,3.640
2,8:17,1,10,PHI 29,15,3,Tom Brady pass incomplete short right intended for Danny Amendola,3.640,3.100
2,8:12,2,10,PHI 29,15,3,Tom Brady pass complete short left to Danny Amendola for 2 yards (tackle by Malcolm Jenkins),3.100,2.680
2,7:33,3,8,PHI 27,15,3,Tom Brady pass incomplete short right intended for James White,2.680,1.670
2,7:29,4,8,PHI 27,15,6,Stephen Gostkowski 45 yard field goal good,1.670,3.000
2,7:24,,,NWE 35,15,6,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,0.610
2,7:24,1,10,PHI 25,15,6,"Penalty on Zach Ertz: False Start, 5 yards (no play)",0.610,0.280
2,7:24,1,15,PHI 20,15,6,Corey Clement left end for 1 yard (tackle by Elandon Roberts),0.280,-0.480
2,6:40,2,14,PHI 21,15,6,Nick Foles pass complete short right to Torrey Smith for 10 yards (tackle by Stephon Gilmore),-0.480,0.170
2,5:55,3,4,PHI 31,15,6,Jay Ajayi right tackle for 26 yards (tackle by James Harrison),0.170,2.720
