Unnamed: 0,TAM,ARI
First Downs,21,20
Rush-Yds-TDs,21-85-0,30-105-1
Cmp-Att-Yd-TD-INT,27-52-243-1-4,18-34-315-3-0
Sacked-Yards,3-22,1-4
Net Pass Yards,221,311
Total Yards,306,416
Fumbles-Lost,1-1,0-0
Turnovers,5,0
Penalties-Yards,5-39,3-30
Third Down Conv.,5-13,6-14
Fourth Down Conv.,0-1,0-0
Time of Possession,30:57,29:03
