Quarter,Time,Tm,Detail,TAM,ARI
2.0,14:54,Cardinals,Larry Fitzgerald 4 yard pass from Carson Palmer (Chandler Catanzaro kick),0,7
,11:44,Cardinals,Chandler Catanzaro 22 yard field goal,0,10
,1:30,Cardinals,Michael Floyd 1 yard pass from Carson Palmer (Chandler Catanzaro kick),0,17
,0:20,Cardinals,Jaron Brown 51 yard pass from Carson Palmer (Chandler Catanzaro kick),0,24
3.0,10:01,Buccaneers,Mike Evans 19 yard pass from Jameis Winston (Roberto Aguayo kick),7,24
,7:56,Cardinals,Chandler Catanzaro 40 yard field goal,7,27
,5:03,Cardinals,Marcus Cooper 60 yard interception return (Chandler Catanzaro kick failed),7,33
4.0,12:11,Cardinals,Chris Johnson 3 yard rush (Chandler Catanzaro kick),7,40
