Quarter,Time,Down,ToGo,Location,TAM,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Buccaneers won the coin toss and deferred, Cardinals to receive the opening kickoff.",,
1,15:00,,,TAM 35,0,0,"Roberto Aguayo kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,ARI 25,0,0,Larry Fitzgerald right end for 4 yards (tackle by Vernon Hargreaves),0.610,0.600
1,14:34,2,6,ARI 29,0,0,Carson Palmer pass complete short right to Michael Floyd for 7 yards (tackle by Brent Grimes),0.600,1.330
1,14:06,1,10,ARI 36,0,0,David Johnson left end for no gain (tackle by Gerald McCoy),1.330,0.790
1,13:32,2,10,ARI 36,0,0,Carson Palmer pass incomplete short left intended for Larry Fitzgerald (defended by Alterraun Verner),0.790,0.100
1,13:26,3,10,ARI 36,0,0,Carson Palmer pass incomplete deep left intended for Michael Floyd (defended by Alterraun Verner),0.100,-0.980
1,13:20,4,10,ARI 36,0,0,"Donald Butler punts 48 yards, returned by Adam Humphries for 1 yard (tackle by Justin Bethel)",-0.980,0.060
1,13:10,1,10,TAM 17,0,0,Jameis Winston pass complete short left to Mike Evans for 8 yards (tackle by Tony Jefferson),-0.060,0.620
1,12:38,2,2,TAM 25,0,0,Doug Martin middle for 3 yards (tackle by Brandon Williams),0.620,0.810
1,12:11,1,10,TAM 28,0,0,Doug Martin middle for 12 yards (tackle by Tyrann Mathieu),0.810,1.600
1,11:41,1,10,TAM 40,0,0,Doug Martin middle for 4 yards (tackle by Tyvon Branch),1.600,1.590
1,11:14,2,6,TAM 44,0,0,Jameis Winston pass complete short right to Adam Humphries for 7 yards (tackle by Brandon Williams),1.590,2.320
1,10:44,1,10,ARI 49,0,0,Jameis Winston pass incomplete deep right intended for Mike Evans is intercepted by Patrick Peterson at ARI-0 and returned for 25 yards,2.320,-0.610
1,10:28,1,10,ARI 25,0,0,Carson Palmer pass incomplete deep left intended for John Brown,0.610,0.060
1,10:20,2,10,ARI 25,0,0,David Johnson left end for 10 yards (tackle by Chris Conte),0.060,1.270
1,9:44,1,10,ARI 35,0,0,Carson Palmer pass incomplete deep right intended for Michael Floyd,1.270,0.720
1,9:38,2,10,ARI 35,0,0,David Johnson right tackle for 8 yards (tackle by Chris Conte),0.720,1.090
1,9:04,3,2,ARI 43,0,0,Carson Palmer pass incomplete short middle intended for Darren Fells (defended by Bradley McDougald),1.090,-0.520
1,8:58,4,2,ARI 43,0,0,"Donald Butler punts 50 yards, returned by Adam Humphries for no gain",-0.520,0.380
1,8:49,1,10,TAM 7,0,0,Doug Martin middle for 2 yards (tackle by Ed Stinson),-0.380,-0.630
1,8:08,2,8,TAM 9,0,0,Jameis Winston pass complete short left to Mike Evans for 11 yards (tackle by Patrick Peterson),-0.630,0.280
1,7:32,1,10,TAM 20,0,0,Doug Martin middle for 3 yards (tackle by Xavier Williams),0.280,0.140
1,6:54,2,7,TAM 23,0,0,Jameis Winston pass incomplete deep right intended for Vincent Jackson,0.140,-0.560
1,6:49,3,7,TAM 23,0,0,Jameis Winston pass complete short right to Adam Humphries for 15 yards (tackle by Tyvon Branch),-0.560,1.470
1,6:10,1,10,TAM 38,0,0,Doug Martin right end for -2 yards (tackle by Markus Golden and Calais Campbell),1.470,0.650
1,5:27,2,12,TAM 36,0,0,Jameis Winston pass incomplete short middle intended for Vincent Jackson (defended by Calais Campbell),0.650,-0.030
1,5:22,3,12,TAM 36,0,0,Jameis Winston pass incomplete deep left intended for Vincent Jackson,-0.030,-0.980
1,5:17,4,12,TAM 36,0,0,"Bryan Anger punts 38 yards, returned by John Brown for 7 yards (tackle by Brandon Myers)",-0.980,-1.140
1,5:06,1,10,ARI 33,0,0,David Johnson middle for 5 yards (tackle by Bradley McDougald),1.140,1.270
1,4:26,2,5,ARI 38,0,0,David Johnson right tackle for 1 yard (tackle by William Gholston),1.270,0.700
1,3:49,3,4,ARI 39,0,0,Carson Palmer pass complete short middle to Andre Ellington for 9 yards (tackle by Bradley McDougald),0.700,2.130
1,3:08,1,10,ARI 48,0,0,David Johnson middle for no gain (tackle by William Gholston),2.130,1.580
1,2:32,2,10,ARI 48,0,0,Carson Palmer pass complete deep left to Larry Fitzgerald for 25 yards (tackle by Chris Conte),1.580,3.780
1,2:05,1,10,TAM 27,0,0,David Johnson middle for 1 yard (tackle by Robert Ayers),3.780,3.370
1,1:27,2,9,TAM 26,0,0,Carson Palmer pass incomplete short left intended for Michael Floyd,3.370,2.680
1,1:22,3,9,TAM 26,0,0,Carson Palmer pass complete short right to Larry Fitzgerald for 11 yards (tackle by Brent Grimes),2.680,4.580
