Quarter,Time,Down,ToGo,Location,SFO,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss and deferred, 49ers to receive the opening kickoff.",,
1,15:00,,,GNB 30,0,0,"Mason Crosby kicks off 49 yards, returned by Delanie Walker for 8 yards (tackle by Jarrett Bush)",0.000,0.870
1,14:54,1,10,SFO 29,0,0,Troy Smith pass incomplete deep middle intended for Michael Crabtree,0.870,0.330
1,14:47,2,10,SFO 29,0,0,Anthony Dixon left tackle for 5 yards (tackle by Frank Zombo and Charlie Peprah),0.330,0.300
1,14:06,3,5,SFO 34,0,0,Troy Smith pass complete deep right to Michael Crabtree for 39 yards (tackle by Charlie Peprah),0.300,3.780
1,13:23,1,10,GNB 27,0,0,Brian Westbrook middle for 2 yards (tackle by Desmond Bishop),3.780,3.500
1,12:41,2,8,GNB 25,0,0,Troy Smith pass complete short left to Michael Crabtree for -1 yards (tackle by Charlie Peprah),3.500,2.680
1,11:59,3,9,GNB 26,0,0,Troy Smith pass incomplete deep left intended for Michael Crabtree,2.680,1.740
1,11:54,4,9,GNB 26,3,0,Jeff Reed 44 yard field goal good,1.740,3.000
1,,,,SFO 30,3,0,"Jeff Reed kicks off 56 yards, returned by Sam Shields for 20 yards (tackle by NaVorro Bowman)",0.000,1.200
1,11:44,1,10,GNB 34,3,0,Aaron Rodgers pass complete short middle to Brandon Jackson for 11 yards (tackle by Takeo Spikes),1.200,1.930
1,11:03,1,10,GNB 45,3,0,Aaron Rodgers pass complete short right to Greg Jennings for 5 yards (tackle by Takeo Spikes),1.930,2.060
1,10:28,2,5,,3,0,James Starks left guard for 2 yards (tackle by Takeo Spikes and Justin Smith),2.060,1.620
1,9:45,3,3,SFO 48,3,0,Aaron Rodgers pass complete short right to Donald Driver for 6 yards (tackle by Tarell Brown),1.620,2.790
1,9:09,1,10,SFO 42,3,0,Aaron Rodgers pass complete short right to Korey Hall for 9 yards (tackle by Nate Clements),2.790,3.460
1,8:41,2,1,SFO 33,3,0,James Starks left guard for 3 yards (tackle by Justin Smith and Takeo Spikes),3.460,3.580
1,8:00,1,10,SFO 30,3,0,Aaron Rodgers pass complete short left to Jordy Nelson for 9 yards (tackle by Tarell Brown),3.580,4.250
1,7:30,2,1,SFO 21,3,0,"Penalty on Manny Lawson: Defensive Offside, 5 yards (no play)",4.250,4.510
1,7:06,1,10,SFO 16,3,0,Brandon Jackson middle for 8 yards (tackle by Patrick Willis),4.510,5.350
1,6:23,2,2,SFO 8,3,0,Aaron Rodgers pass complete short right to James Jones for 1 yard (tackle by Tarell Brown),5.350,4.850
1,6:00,,,,3,0,Timeout #1 by Green Bay Packers,0.000,4.850
1,6:00,3,1,SFO 7,3,0,John Kuhn middle for 1 yard (tackle by Takeo Spikes),4.850,5.830
1,5:17,1,6,SFO 6,3,0,Aaron Rodgers pass incomplete short left intended for Donald Driver,5.830,4.950
1,5:13,,,,3,0,Timeout #2 by Green Bay Packers,0.000,4.950
1,5:13,2,6,SFO 6,3,0,"Aaron Rodgers pass incomplete short right intended for Donald Driver. Penalty on Aaron Rodgers: Intentional Grounding, 10 yards",4.950,2.850
1,5:08,3,16,SFO 16,3,0,Aaron Rodgers pass complete short left to Greg Jennings for 5 yards (tackle by Manny Lawson),2.850,2.700
1,4:32,4,11,SFO 11,3,0,Mason Crosby 29 yard field goal no good,2.700,-0.280
1,4:28,1,10,SFO 20,3,0,Troy Smith left end for 10 yards (tackle by Clay Matthews),0.280,0.940
1,3:44,1,10,SFO 30,3,0,Brian Westbrook left guard for 4 yards (tackle by Charles Woodson and Desmond Bishop),0.940,0.930
1,3:07,2,6,SFO 34,3,0,Brian Westbrook middle for 5 yards (tackle by Charles Woodson and Desmond Bishop),0.930,0.890
1,2:25,3,1,SFO 39,3,0,Troy Smith pass incomplete short right intended for Michael Crabtree,0.890,-0.780
1,2:20,4,1,SFO 39,3,0,"Andy Lee punts 61 yards, touchback",-0.780,-0.280
1,2:10,1,10,GNB 20,3,0,Aaron Rodgers sacked by Justin Smith and Isaac Sopoaga for -5 yards,0.280,-1.070
1,1:34,2,15,GNB 15,3,0,Aaron Rodgers pass complete short middle to Brandon Jackson for 6 yards (tackle by Takeo Spikes),-1.070,-0.820
1,0:54,3,9,GNB 21,3,0,Aaron Rodgers pass incomplete short left intended for Donald Driver. Penalty on Chad Clifton: Illegal Formation (Declined),-0.820,-1.960
1,0:49,4,9,GNB 21,3,0,"Tim Masthay punts 35 yards, returned by Ted Ginn for 12 yards (tackle by Desmond Bishop). Penalty on Diyral Briggs: Illegal Formation, 5 yards",-1.960,-2.980
1,0:38,1,10,GNB 39,3,0,Delanie Walker left end for 5 yards (tackle by Charles Woodson),2.980,3.120
1,0:11,2,5,GNB 34,3,0,Troy Smith pass complete short left to Michael Crabtree for 7 yards (tackle by Tramon Williams),3.120,3.780
Quarter,Time,Down,ToGo,Location,SFO,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,GNB 27,3,0,Troy Smith pass complete short right to Vernon Davis for 25 yards (tackle by Charles Woodson),3.780,6.740
2,14:32,1,2,GNB 2,3,0,Anthony Dixon left tackle for no gain (tackle by Clay Matthews),6.740,5.720
2,13:53,2,2,GNB 2,3,0,Troy Smith sacked by Cullen Jenkins for -8 yards,5.720,3.130
2,13:21,3,10,GNB 10,3,0,Troy Smith middle for 2 yards (tackle by Frank Zombo),3.130,2.950
2,12:38,4,8,GNB 8,6,0,Jeff Reed 26 yard field goal good,2.950,3.000
2,,,,SFO 30,6,0,"Jeff Reed kicks off 53 yards, returned by Sam Shields for 17 yards (tackle by Tarell Brown). Penalty on Jarrett Bush: Offensive Holding, 10 yards",0.000,-0.220
2,12:27,1,10,GNB 15,6,0,Aaron Rodgers sacked by Ahmad Brooks for -7 yards,-0.220,-1.290
2,11:47,2,17,GNB 8,6,0,Aaron Rodgers middle for 8 yards (tackle by Takeo Spikes),-1.290,-1.250
2,11:04,3,9,GNB 16,6,0,Aaron Rodgers pass incomplete deep right intended for James Jones (defended by Nate Clements),-1.250,-2.390
2,10:58,4,9,GNB 16,6,0,"Tim Masthay punts 51 yards, returned by Ted Ginn for 19 yards (tackle by Erik Walden)",-2.390,-2.390
2,10:47,1,10,GNB 48,6,0,"Penalty on Barry Sims: False Start, 5 yards (no play)",2.390,2.060
2,10:47,1,15,SFO 47,6,0,Brian Westbrook middle for 2 yards (tackle by Nick Collins and Ryan Pickett),2.060,1.440
2,10:07,2,13,SFO 49,6,0,Troy Smith pass incomplete short right intended for Josh Morgan (defended by Tramon Williams),1.440,0.760
2,10:01,,,,6,0,Timeout #1 by San Francisco 49ers,0.000,0.760
2,10:01,3,13,SFO 49,6,0,Troy Smith sacked by Cullen Jenkins for -3 yards,0.760,-0.320
2,9:38,4,16,SFO 46,6,0,"Andy Lee punts 42 yards, returned by Tramon Williams for 10 yards (tackle by Chris Maragos)",-0.320,-0.410
2,9:24,1,10,GNB 22,6,0,James Starks right guard for 9 yards (tackle by Takeo Spikes),0.410,1.080
2,8:43,2,1,GNB 31,6,0,James Starks right tackle for 3 yards (tackle by Travis LaBoy),1.080,1.200
2,8:07,1,10,GNB 34,6,0,"Penalty on Aubrayo Franklin: Encroachment, 5 yards (no play)",1.200,1.930
2,7:47,1,5,GNB 39,6,0,Aaron Rodgers pass incomplete,1.930,1.330
