Quarter,Time,Tm,Detail,SFO,GNB
1.0,11:49,49ers,Jeff Reed 44 yard field goal,3,0
2.0,12:34,49ers,Jeff Reed 26 yard field goal,6,0
,7:02,Packers,Greg Jennings 57 yard pass from Aaron Rodgers (Mason Crosby kick),6,7
,1:46,Packers,John Kuhn 1 yard rush (Mason Crosby kick),6,14
,1:26,49ers,Vernon Davis 66 yard pass from Troy Smith (Jeff Reed kick),13,14
3.0,11:52,Packers,Donald Driver 61 yard pass from Aaron Rodgers (Mason Crosby kick),13,21
,6:39,49ers,Jeff Reed 23 yard field goal,16,21
,3:37,Packers,Greg Jennings 1 yard pass from Aaron Rodgers (Mason Crosby kick),16,28
4.0,13:50,Packers,Mason Crosby 43 yard field goal,16,31
,3:10,Packers,Mason Crosby 24 yard field goal,16,34
