Quarter,Time,Tm,Detail,CHI,KAN
1.0,6:51,Chiefs,Jerick McKinnon 6 yard pass from Patrick Mahomes (Harrison Butker kick),0,7
2.0,11:34,Chiefs,Clyde Edwards-Helaire 1 yard rush (Harrison Butker kick),0,14
,3:05,Chiefs,Jerick McKinnon 3 yard pass from Patrick Mahomes (Harrison Butker kick),0,21
,1:51,Chiefs,Harrison Butker 41 yard field goal,0,24
,1:06,Chiefs,Isiah Pacheco 1 yard rush (Harrison Butker kick),0,31
,0:00,Chiefs,Harrison Butker 38 yard field goal,0,34
3.0,7:40,Chiefs,Travis Kelce 3 yard pass from Patrick Mahomes (Harrison Butker kick),0,41
4.0,13:34,Bears,Cairo Santos 21 yard field goal,3,41
,4:20,Bears,D.J. Moore 9 yard pass from Justin Fields (Cairo Santos kick),10,41
