Unnamed: 0,SEA,DAL
First Downs,18,26
Rush-Yds-TDs,22-79-0,29-113-1
Cmp-Att-Yd-TD-INT,22-39-249-2-0,21-36-256-3-0
Sacked-Yards,3-20,2-7
Net Pass Yards,229,249
Total Yards,308,362
Fumbles-Lost,2-2,3-1
Turnovers,2,1
Penalties-Yards,6-53,5-43
Third Down Conv.,6-14,7-13
Fourth Down Conv.,0-0,0-0
Time of Possession,25:15,34:45
