Quarter,Time,Tm,Detail,SEA,DAL
1.0,6:58,Seahawks,Olindo Mare 43 yard field goal,3,0
,3:12,Cowboys,Sam Hurd 36 yard pass from Tony Romo (Nick Folk kick),3,7
2.0,13:26,Cowboys,Marion Barber III 2 yard rush (Nick Folk kick),3,14
,10:25,Seahawks,Deion Branch 23 yard pass from Matt Hasselbeck (Olindo Mare kick),10,14
,0:35,Cowboys,Roy Williams 7 yard pass from Tony Romo (Nick Folk kick),10,21
3.0,2:39,Cowboys,Miles Austin 3 yard pass from Tony Romo (Nick Folk kick),10,28
,1:11,Cowboys,Patrick Crayton 82 yard punt return (Nick Folk kick),10,35
4.0,10:58,Cowboys,Nick Folk 40 yard field goal,10,38
,8:40,Seahawks,Justin Griffith 4 yard pass from Matt Hasselbeck (Olindo Mare kick),17,38
