0,1
Game Info,Game Info
Won Toss,Cowboys
Roof,retractable roof (closed)
Surface,matrixturf
Duration,2:56
Attendance,93436
Vegas Line,Dallas Cowboys -8.0
Over/Under,55.0 (under)
