Quarter,Time,Tm,Detail,ATL,DAL
1.0,11:41,Cowboys,CeeDee Lamb 13 yard pass from Dak Prescott (Lirim Hajrullahu kick),0,7
,8:24,Falcons,Younghoe Koo 35 yard field goal,3,7
2.0,13:24,Cowboys,Ezekiel Elliott 1 yard rush (Lirim Hajrullahu kick),3,14
,8:07,Cowboys,Ezekiel Elliott 2 yard rush (Lirim Hajrullahu kick),3,21
,1:10,Cowboys,CeeDee Lamb 9 yard pass from Dak Prescott (Lirim Hajrullahu kick),3,28
,0:37,Cowboys,Nahshon Wright 1 yard blocked punt return (Ezekiel Elliott run),3,36
3.0,0:31,Cowboys,Dak Prescott 4 yard rush (Lirim Hajrullahu kick),3,43
