Unnamed: 0,ATL,DAL
First Downs,11,22
Rush-Yds-TDs,24-103-0,37-114-3
Cmp-Att-Yd-TD-INT,10-27-131-0-3,28-35-317-2-0
Sacked-Yards,2-20,0-0
Net Pass Yards,111,317
Total Yards,214,431
Fumbles-Lost,1-0,1-1
Turnovers,3,1
Penalties-Yards,6-41,8-80
Third Down Conv.,1-11,6-14
Fourth Down Conv.,0-2,3-3
Time of Possession,22:19,37:41
