Quarter,Time,Tm,Detail,NYG,GNB
1.0,6:18,Packers,Jordy Nelson 2 yard pass from Aaron Rodgers (Mason Crosby kick),0,7
2.0,8:21,Giants,Josh Brown 47 yard field goal,3,7
,6:01,Packers,Davante Adams 29 yard pass from Aaron Rodgers (Mason Crosby kick),3,14
,1:51,Giants,Josh Brown 41 yard field goal,6,14
,0:00,Packers,Mason Crosby 44 yard field goal,6,17
3.0,5:26,Giants,Josh Brown 30 yard field goal,9,17
4.0,13:46,Packers,Mason Crosby 33 yard field goal,9,20
,6:39,Packers,Mason Crosby 25 yard field goal,9,23
,2:54,Giants,Odell Beckham Jr. 8 yard pass from Eli Manning (Josh Brown kick),16,23
