Unnamed: 0,TEN,IND
First Downs,17,20
Rush-Yds-TDs,24-97-0,30-98-1
Cmp-Att-Yd-TD-INT,22-35-262-1-2,16-34-196-1-2
Sacked-Yards,1-3,4-25
Net Pass Yards,259,171
Total Yards,356,269
Fumbles-Lost,0-0,2-0
Turnovers,2,2
Penalties-Yards,9-70,6-43
Third Down Conv.,4-11,4-12
Fourth Down Conv.,0-0,0-0
Time of Possession,28:37,31:23
