Quarter,Time,Down,ToGo,Location,TEN,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss, Titans to receive the opening kickoff.",,
1,15:00,,,IND 35,0,0,"Pat McAfee kicks off 74 yards, touchback",0.000,0.280
1,15:00,1,10,TEN 20,0,0,Jake Locker pass complete short right to Kenny Britt for 9 yards (tackle by Cassius Vaughn),0.280,0.950
1,14:24,2,1,TEN 29,0,0,Jake Locker pass complete short left to Kendall Wright for 2 yards (tackle by Vontae Davis),0.950,1.000
1,13:48,1,10,TEN 31,0,0,Chris Johnson right tackle for 2 yards (tackle by Kavell Conner),1.000,0.730
1,13:16,2,8,TEN 33,0,0,Jake Locker for 32 yards (tackle by Antoine Bethea),0.730,3.250
1,12:41,1,10,IND 35,0,0,Chris Johnson left tackle for 3 yards (tackle by Joe Lefeged),3.250,3.110
1,12:07,2,7,IND 32,0,0,Jake Locker pass complete short right to Kenny Britt for 10 yards,3.110,4.110
1,11:35,1,10,IND 22,0,0,"Chris Johnson right end for 5 yards (tackle by Cassius Vaughn). Penalty on Craig Stevens: Offensive Holding, 10 yards (no play)",4.110,3.450
1,11:14,1,20,IND 32,0,0,Jake Locker pass complete short middle to Kendall Wright for 8 yards (tackle by Vontae Davis),3.450,3.290
,,,,,,,"IND challenged the pass completion ruling, and the play was upheld.",,
1,10:48,2,12,IND 24,0,0,Jake Locker pass complete short right to Chris Johnson for 6 yards (tackle by Darius Butler),3.290,3.400
1,10:16,3,6,IND 18,6,0,"Jake Locker pass complete deep middle to Jared Cook for 18 yards, touchdown",3.400,7.000
1,10:16,,,IND 2,7,0,Rob Bironas kicks extra point good,0.000,0.000
1,10:10,,,TEN 35,7,0,"Rob Bironas kicks off 74 yards, touchback",0.000,0.280
1,10:10,1,10,IND 20,7,0,Vick Ballard up the middle for no gain (tackle by SenDerrick Marks),0.280,-0.270
1,9:35,2,10,IND 20,7,0,Andrew Luck pass incomplete deep right intended for Coby Fleener,-0.270,-0.960
1,9:28,3,10,IND 20,7,0,Andrew Luck pass incomplete deep right intended for T.Y. Hilton,-0.960,-2.030
1,9:22,4,10,IND 20,7,0,"Pat McAfee punts 54 yards, fair catch by Darius Reynaud",-2.030,-0.670
1,9:14,1,10,TEN 26,7,0,Chris Johnson right guard for 5 yards (tackle by Joe Lefeged),0.670,0.810
1,8:44,2,5,TEN 31,7,0,Chris Johnson right tackle for 5 yards (tackle by Antoine Bethea),0.810,1.330
1,8:01,1,10,TEN 36,7,0,Chris Johnson up the middle for 3 yards (tackle by Kavell Conner and Robert Mathis),1.330,1.200
1,7:25,2,7,TEN 39,7,0,Jake Locker pass complete short right to Kenny Britt for 16 yards (tackle by Antoine Bethea and Cory Redding),1.200,2.590
1,6:49,1,10,IND 45,7,0,Chris Johnson left tackle for 4 yards (tackle by Jerrell Freeman and Vontae Davis),2.590,2.580
1,6:03,2,6,IND 41,7,0,Darius Reynaud up the middle for 2 yards (tackle by Jerrell Freeman),2.580,2.150
1,5:23,3,4,IND 39,7,0,Jake Locker pass incomplete short right intended for Kendall Wright (defended by Cory Redding),2.150,0.660
1,5:17,4,4,IND 39,7,0,Rob Bironas 57 yard field goal no good,0.660,-2.060
1,5:12,1,10,IND 47,7,0,Vick Ballard up the middle for no gain (tackle by SenDerrick Marks and Jordan Babineaux),2.060,1.520
1,4:33,2,10,IND 47,7,0,Andrew Luck pass complete short middle to T.Y. Hilton for 36 yards (tackle by Ryan Mouton),1.520,4.440
1,3:46,1,10,TEN 17,7,0,Vick Ballard right tackle for 7 yards (tackle by Jurrell Casey and Will Witherspoon),4.440,5.100
1,3:15,2,3,TEN 10,7,0,Vick Ballard left end for -1 yards (tackle by Michael Griffin),5.100,4.100
1,2:33,3,4,TEN 11,7,0,Andrew Luck pass complete short middle to Vick Ballard for 10 yards (tackle by Will Witherspoon and Coty Sensabaugh),4.100,6.970
1,1:51,1,1,TEN 1,7,0,Delone Carter left end for -3 yards (tackle by Markelle Martin),6.970,5.340
1,1:06,2,4,TEN 4,7,6,"Andrew Luck pass complete short middle to Reggie Wayne for 4 yards, touchdown",5.340,7.000
1,1:06,,,TEN 2,7,7,Adam Vinatieri kicks extra point good,0.000,0.000
1,1:01,,,IND 35,7,7,"Pat McAfee kicks off 74 yards, touchback",0.000,0.280
1,1:01,1,10,TEN 20,7,7,Chris Johnson right end for 2 yards (tackle by Cassius Vaughn),0.280,0.000
1,0:23,2,8,TEN 22,7,7,"Jake Locker pass incomplete short left intended for Jared Cook. Penalty on Cory Redding: Defensive Holding, 5 yards (no play)",0.000,0.740
1,0:17,1,10,TEN 27,7,7,"Jake Locker pass incomplete deep left intended for Kenny Britt. Penalty on Kenny Britt: Offensive Pass Interference, 10 yards (no play)",0.740,-0.170
1,0:11,1,20,TEN 17,7,7,Chris Johnson up the middle for -2 yards (tackle by Robert Mathis and Antoine Bethea),-0.170,-1.570
Quarter,Time,Down,ToGo,Location,TEN,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,22,TEN 15,7,7,Jake Locker pass complete short right to Kendall Wright for 14 yards (tackle by Jerrell Freeman and Joe Lefeged),-1.570,-0.230
2,14:15,3,8,TEN 29,7,7,Jake Locker pass complete deep right to Kenny Britt for 46 yards (tackle by Cassius Vaughn),-0.230,3.910
2,13:53,1,10,IND 25,7,7,Chris Johnson right tackle for 3 yards (tackle by Jerrell Freeman),3.910,3.770
2,13:20,2,7,IND 22,7,7,Chris Johnson right tackle for no gain (tackle by Lawrence Guy and Jerrell Freeman),3.770,3.070
2,12:38,3,7,IND 22,7,7,Jake Locker pass incomplete deep left intended for Nate Washington,3.070,1.990
2,12:32,4,7,IND 22,10,7,Rob Bironas 40 yard field goal good,1.990,3.000
2,12:27,,,TEN 35,10,7,"Rob Bironas kicks off 74 yards, touchback",0.000,0.280
2,12:27,1,10,IND 20,10,7,Andrew Luck pass incomplete deep middle intended for Coby Fleener,0.280,-0.270
2,12:21,2,10,IND 20,10,7,Andrew Luck pass complete short right to T.Y. Hilton for 14 yards (tackle by Jordan Babineaux),-0.270,1.200
2,11:42,1,10,IND 34,10,7,Andrew Luck pass incomplete deep left intended for Coby Fleener,1.200,0.660
2,11:37,2,10,IND 34,10,7,Delone Carter right tackle for 3 yards (tackle by Jason McCourty),0.660,0.370
2,10:56,3,7,IND 37,10,7,Andrew Luck sacked by Derrick Morgan for -8 yards,0.370,-1.440
2,10:20,4,15,IND 29,10,7,"Pat McAfee punts 54 yards, returned by Darius Reynaud for 14 yards (tackle by Kavell Conner)",-1.440,-1.000
2,10:07,1,10,TEN 31,10,7,"Jake Locker pass incomplete. Penalty on Jake Locker: Intentional Grounding, 10 yards",1.000,-0.890
2,10:02,2,20,TEN 21,10,7,Chris Johnson up the middle for 1 yard (tackle by Kavell Conner),-0.890,-1.420
2,9:08,3,19,TEN 22,10,7,Jake Locker pass complete short middle to Chris Johnson for 9 yards (tackle by Jerry Hughes),-1.420,-1.310
2,8:29,4,10,TEN 31,10,7,"Brett Kern punts 53 yards, out of bounds. Penalty on Jerry Hughes: Unsportsmanlike Conduct, 8 yards",-1.310,0.380
2,8:21,1,10,IND 8,10,7,Andrew Luck pass complete short right to Reggie Wayne for 9 yards (tackle by Will Witherspoon),-0.380,0.050
2,7:47,2,1,IND 17,10,7,Vick Ballard right tackle for 4 yards (tackle by Jordan Babineaux),0.050,0.340
2,7:11,1,10,IND 21,10,7,Reggie Wayne right end for -5 yards (tackle by Jason McCourty),0.340,-1.010
2,6:32,2,15,IND 16,10,7,Andrew Luck pass complete short left to Reggie Wayne for 16 yards (tackle by Jason McCourty). Penalty on Jurrell Casey: Defensive Offside (Declined),-1.010,1.070
2,6:09,1,10,IND 32,10,7,Vick Ballard left guard for 8 yards (tackle by Will Witherspoon),1.070,1.610
2,5:32,2,2,IND 40,10,7,Vick Ballard up the middle for -1 yards (tackle by Akeem Ayers),1.610,0.760
2,4:51,3,3,IND 39,16,7,"Andrew Luck pass incomplete short middle intended for Reggie Wayne is intercepted by Will Witherspoon at IND-40 and returned for 40 yards, touchdown",0.760,-7.000
,,,,,,,"Replay Assistant challenged the runner was down by contact ruling, and the play was upheld.",,
2,,,,IND 2,17,7,Rob Bironas kicks extra point good,0.000,0.000
2,4:40,,,TEN 35,17,7,"Rob Bironas kicks off 74 yards, touchback",0.000,0.280
2,4:40,1,10,IND 20,17,7,"Andrew Luck pass complete short right to Delone Carter for 13 yards (tackle by Tim Shaw). Delone Carter fumbles (forced by Tim Shaw), recovered by Reggie Wayne at IND-39",0.280,1.530
2,3:47,1,10,IND 39,17,7,Andrew Luck sacked by Karl Klug for -6 yards,1.530,0.180
2,3:06,2,16,IND 33,17,7,Andrew Luck pass complete short left to Coby Fleener for 9 yards (tackle by Zach Brown),0.180,0.700
2,2:32,3,7,IND 42,17,7,Andrew Luck sacked by Karl Klug for -10 yards,0.700,-1.240
2,2:00,4,17,IND 32,17,7,"Pat McAfee punts 53 yards, out of bounds",-1.240,0.220
2,1:51,1,10,TEN 15,17,7,Jake Locker pass complete short right to Kendall Wright for 6 yards (tackle by Cassius Vaughn),-0.220,0.210
