Unnamed: 0,ARI,DET
First Downs,15,29
Rush-Yds-TDs,25-187-3,18-56-0
Cmp-Att-Yd-TD-INT,12-18-171-3-0,41-70-379-2-4
Sacked-Yards,2-13,1-0
Net Pass Yards,158,379
Total Yards,345,435
Fumbles-Lost,0-0,3-2
Turnovers,0,6
Penalties-Yards,9-70,9-85
Third Down Conv.,1-8,8-17
Fourth Down Conv.,0-0,0-1
Time of Possession,23:28,36:32
