Quarter,Time,Down,ToGo,Location,ARI,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss, Lions to receive the opening kickoff.",,
1,15:00,,,ARI 35,0,0,"Chandler Catanzaro kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,DET 20,0,0,"Matthew Stafford pass incomplete deep left intended for Calvin Johnson. Penalty on Rodney Gunter: Defensive Offside, 5 yards (no play)",0.280,1.010
1,14:53,1,5,DET 25,0,0,Ameer Abdullah left end for 3 yards (tackle by Rashad Johnson),1.010,0.810
1,14:18,2,2,DET 28,0,0,Matthew Stafford pass incomplete short right intended for Golden Tate,0.810,0.810
1,14:14,2,2,DET 28,0,0,Timeout #1 by Detroit Lions,0.810,0.100
1,14:14,3,2,DET 28,0,0,Matthew Stafford pass incomplete short left intended for Tim Wright is intercepted by Rashad Johnson at DET-43,0.100,-2.720
1,14:02,1,10,DET 43,0,0,Chris Johnson middle for -1 yards (tackle by Josh Wilson),2.720,2.040
1,13:33,2,11,DET 44,0,0,Chris Johnson middle for 1 yard (tackle by Gabe Wright),2.040,1.490
1,12:50,3,10,DET 43,0,0,Carson Palmer pass incomplete short left intended for Larry Fitzgerald,1.490,0.400
1,12:44,4,10,DET 43,0,0,"Drew Butler punts 30 yards, fair catch by T.J. Jones. Penalty on Josh Bynes: Offensive Holding, 6 yards",0.400,0.380
1,12:37,1,10,DET 7,0,0,Ameer Abdullah left tackle for 5 yards (tackle by Tyrann Mathieu and Deone Bucannon),-0.380,-0.420
1,12:02,2,5,DET 12,0,0,Golden Tate right end for 8 yards (tackle by Tony Jefferson and Jerraud Powers),-0.420,0.280
1,11:25,1,10,DET 20,0,0,Matthew Stafford pass complete short right to Calvin Johnson for 9 yards (tackle by Tyrann Mathieu),0.280,0.950
1,10:41,2,1,DET 29,0,0,Matthew Stafford pass complete short middle to Ameer Abdullah for 9 yards (tackle by Deone Bucannon),0.950,1.470
