Quarter,Time,Down,ToGo,Location,HOU,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Texans won the coin toss and deferred, Browns to receive the opening kickoff.",,
1,15:00,,,HOU 35,0,0,"Joey Slye kicks off 58 yards, returned by Demetric Felton for 25 yards (tackle by Joey Slye and Terrance Mitchell)",,
1,14:52,1,10,CLE 32,0,0,"Nick Chubb right guard for no gain (tackle by Maliek Collins). Penalty on Charles Omenihu: Defensive Offside, 5 yards (accepted) (no play)",,
1,14:30,1,5,CLE 37,0,0,Baker Mayfield pass complete short right to Jarvis Landry for 9 yards (tackle by Tavierre Thomas and Eric Murray),,
1,13:52,1,10,CLE 46,0,0,Baker Mayfield pass complete short left to Nick Chubb for 3 yards (tackle by Charles Omenihu),,
1,13:13,2,7,CLE 49,0,0,Nick Chubb right tackle for -4 yards (tackle by Christian Kirksey),,
1,12:27,3,11,CLE 45,0,0,"Baker Mayfield sacked by Jacob Martin for -10 yards. Penalty on Jack Conklin: Offensive Holding, 10 yards (declined)",,
1,12:06,4,21,CLE 35,0,0,"Jamie Gillan punts 37 yards, recovered by Sione Takitaki at HOU-35",,
1,11:58,1,10,HOU 35,0,0,Baker Mayfield pass complete deep left to Harrison Bryant for 29 yards (tackle by Vernon Hargreaves),,
1,11:16,1,6,HOU 6,0,0,Baker Mayfield pass complete short right to Austin Hooper for 4 yards (tackle by Eric Murray),,
1,10:39,2,2,HOU 2,0,0,Nick Chubb up the middle for 1 yard (tackle by Joe Thomas),,
1,10:00,3,1,HOU 1,0,6,"Andy Janovich up the middle for 1 yard, touchdown",,
1,9:56,,,HOU 15,0,7,Chase McLaughlin kicks extra point good,,
1,9:56,,,CLE 35,0,7,"Chase McLaughlin kicks off 67 yards, returned by Andre Roberts for 18 yards (tackle by A.J. Green and Jeremiah Owusu-Koramoah)",,
1,9:52,1,10,HOU 16,0,7,Tyrod Taylor pass complete short left to Nico Collins for 32 yards (tackle by Denzel Ward),,
1,9:12,1,10,HOU 48,0,7,Tyrod Taylor pass complete short left to Mark Ingram for -1 yards (tackle by Sione Takitaki),,
1,8:34,2,11,HOU 47,0,7,Mark Ingram left tackle for 2 yards (tackle by Jeremiah Owusu-Koramoah),,
1,7:49,3,9,HOU 49,0,7,Tyrod Taylor pass complete short right to Brandin Cooks for 12 yards (tackle by Denzel Ward),,
1,7:13,1,10,CLE 39,0,7,Phillip Lindsay left guard for -2 yards (tackle by Jadeveon Clowney and Mack Wilson),,
1,6:35,2,12,CLE 41,0,7,Tyrod Taylor pass complete short left to Chris Conley for 13 yards (tackle by John Johnson),,
1,6:01,1,10,CLE 28,0,7,Tyrod Taylor pass complete short right to Brandin Cooks for 6 yards (tackle by Malcolm Smith),,
1,5:27,2,4,CLE 22,6,7,"Tyrod Taylor pass complete short right to Phillip Lindsay for 22 yards, touchdown",,
1,5:18,,,CLE 15,7,7,Joey Slye kicks extra point good,,
1,5:18,,,HOU 35,7,7,"Joey Slye kicks off 65 yards, touchback.",,
1,5:18,1,10,CLE 25,7,7,Kareem Hunt right tackle for 1 yard (tackle by Joe Thomas),,
1,4:55,2,9,CLE 26,7,7,Baker Mayfield pass complete deep left to David Njoku for 11 yards (tackle by Kamu Grugier-Hill),,
1,4:13,1,10,CLE 37,7,7,Kareem Hunt left guard for 9 yards (tackle by Eric Murray),,
1,3:37,2,1,CLE 46,7,7,Kareem Hunt right tackle for -1 yards (tackle by Whitney Mercilus and Christian Kirksey),,
1,2:55,3,2,CLE 45,7,7,Baker Mayfield pass complete short left to Austin Hooper for 13 yards (tackle by Lonnie Johnson),,
1,2:20,1,10,HOU 42,7,7,"Baker Mayfield pass complete short middle to Donovan Peoples-Jones for 14 yards. Donovan Peoples-Jones fumbles (forced by Justin Reid), recovered by Christian Kirksey at HOU-28 and returned for -1 yards (tackle by Nick Chubb)",,
1,2:13,1,10,HOU 27,7,7,Mark Ingram right end for 4 yards (tackle by Mack Wilson),,
1,1:33,2,6,HOU 31,7,7,David Johnson left guard for 5 yards (tackle by Malik Jackson and Myles Garrett),,
1,0:50,3,1,HOU 36,7,7,Mark Ingram up the middle for 7 yards (tackle by Greg Newsome),,
1,0:13,1,10,HOU 43,7,7,Mark Ingram right tackle for 3 yards (tackle by Ronnie Harrison),,
Quarter,Time,Down,ToGo,Location,HOU,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,HOU 46,7,7,"Penalty on Tytus Howard: False Start, 5 yards (accepted) (no play)",,
2,15:00,2,12,HOU 41,7,7,Tyrod Taylor pass complete short left to Brandin Cooks for -3 yards (tackle by Malcolm Smith),,
2,14:18,3,15,HOU 38,7,7,"Tyrod Taylor pass complete short middle to Brandin Cooks for 13 yards (tackle by Malcolm Smith and John Johnson). Penalty on Takkarist McKinley: Defensive Offside, 5 yards (declined)",,
2,14:01,4,2,CLE 49,7,7,"Cameron Johnston punts 49 yards, touchback.",,
2,13:54,1,10,CLE 20,7,7,Baker Mayfield sacked by Kamu Grugier-Hill for -4 yards,,
2,13:12,2,14,CLE 16,7,7,Baker Mayfield pass complete short left to Rashard Higgins for 14 yards (tackle by Christian Kirksey),,
2,12:31,1,10,CLE 30,7,7,Baker Mayfield scrambles left end for 2 yards (tackle by Joe Thomas),,
2,11:53,2,8,CLE 32,7,7,Baker Mayfield pass complete short left to Austin Hooper for 13 yards (tackle by Christian Kirksey),,
2,11:14,1,10,CLE 45,7,7,Kareem Hunt left guard for 13 yards (tackle by Justin Reid),,
2,10:34,1,10,HOU 42,7,7,Kareem Hunt left end for -3 yards (tackle by Kamu Grugier-Hill),,
2,9:57,2,13,HOU 45,7,7,Baker Mayfield pass incomplete deep left intended for David Njoku,,
2,9:54,3,13,HOU 45,7,7,Baker Mayfield pass deep middle intended for Anthony Schwartz is intercepted by Justin Reid at HOU-29 and returned for 24 yards (tackle by Jack Conklin),,
2,9:44,1,10,CLE 47,7,7,Phillip Lindsay right guard for no gain (tackle by Ronnie Harrison and Malik Jackson),,
2,9:07,2,10,CLE 47,7,7,Tyrod Taylor pass complete short right to Danny Amendola for 9 yards (tackle by Denzel Ward),,
2,8:32,3,1,CLE 38,7,7,Tyrod Taylor pass complete short right to Brandin Cooks for 22 yards (tackle by Ronnie Harrison),,
2,7:57,1,10,CLE 16,7,7,Phillip Lindsay right guard for 1 yard (tackle by Malcolm Smith and Takkarist McKinley),,
2,7:18,2,9,CLE 15,7,7,Tyrod Taylor pass incomplete short right intended for Mark Ingram,,
2,7:14,3,9,CLE 15,13,7,"Tyrod Taylor scrambles left end for 15 yards, touchdown",,
2,7:06,,,CLE 15,14,7,Joey Slye kicks extra point good,,
2,7:06,,,HOU 35,14,7,"Joey Slye kicks off 65 yards, touchback.",,
2,7:06,1,10,CLE 25,14,7,Nick Chubb left end for 21 yards (tackle by Justin Reid),,
2,6:26,1,10,CLE 46,14,7,Nick Chubb left guard for 7 yards (tackle by Ross Blacklock and Jordan Jenkins),,
2,5:45,2,3,HOU 47,14,7,Baker Mayfield pass complete short left to Harrison Bryant for 8 yards (tackle by Eric Murray),,
2,5:02,1,10,HOU 39,14,7,Nick Chubb right guard for 5 yards (tackle by Kamu Grugier-Hill and Whitney Mercilus),,
2,4:21,2,5,HOU 34,14,7,Nick Chubb right guard for 10 yards (tackle by Justin Reid),,
2,3:46,1,10,HOU 24,14,7,Kareem Hunt right guard for 8 yards (tackle by Charles Omenihu and Eric Murray),,
2,3:20,2,2,HOU 16,14,7,Kareem Hunt left end for 5 yards (tackle by Zach Cunningham and Desmond King),,
2,2:41,1,10,HOU 11,14,7,Andy Janovich left guard for -1 yards (tackle by Kamu Grugier-Hill),,
2,2:00,2,11,HOU 12,14,7,Baker Mayfield pass complete short right to David Njoku for 7 yards (tackle by Zach Cunningham and Terrance Mitchell),,
2,1:20,3,4,HOU 5,14,13,"Baker Mayfield scrambles up the middle for 5 yards, touchdown",,
2,1:14,,,HOU 15,14,14,Chase McLaughlin kicks extra point good,,
2,1:14,,,CLE 35,14,14,"Chase McLaughlin kicks off 59 yards, returned by Andre Roberts for 19 yards (tackle by Mack Wilson)",,
2,1:09,1,10,HOU 25,14,14,David Johnson up the middle for 8 yards (tackle by Jadeveon Clowney and Myles Garrett),,
2,0:58,,,,,,Timeout #1 by Houston Texans,,
2,0:58,2,2,HOU 33,14,14,David Johnson right guard for 4 yards (tackle by Malcolm Smith),,
2,0:30,1,10,HOU 37,14,14,"Tyrod Taylor pass incomplete short left. Penalty on Geron Christian: Offensive Holding, 10 yards (accepted) (no play)",,
2,0:22,1,20,HOU 27,14,14,David Johnson right guard for 4 yards (tackle by Malik Jackson and Grant Delpit),,
2,0:17,,,,,,Timeout #1 by Cleveland Browns,,
2,0:17,2,16,HOU 31,14,14,David Johnson right guard for 3 yards (tackle by Myles Garrett and Takkarist McKinley),,
2,0:13,,,,,,Timeout #2 by Cleveland Browns,,
2,0:13,3,13,HOU 34,14,14,David Johnson right guard for 1 yard (tackle by Grant Delpit),,
2,0:09,,,,,,Timeout #3 by Cleveland Browns,,
2,0:09,4,12,HOU 35,14,14,"Cameron Johnston punts 54 yards, recovered by Demetric Felton at CLE-11",,
Quarter,Time,Down,ToGo,Location,HOU,CLE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 35,14,14,"Chase McLaughlin kicks off 65 yards, touchback.",,
3,15:00,1,10,HOU 25,14,14,Mark Ingram left guard for 4 yards (tackle by Ronnie Harrison),,
3,14:40,2,6,HOU 29,14,14,Mark Ingram up the middle for no gain (tackle by Jadeveon Clowney and Malik Jackson),,
3,13:55,3,6,HOU 29,14,14,Davis Mills pass incomplete short middle intended for Brandin Cooks,,
3,13:52,4,6,HOU 29,14,14,"Cameron Johnston punts 50 yards, returned by Demetric Felton for 7 yards (tackle by Neville Hewitt and Joe Thomas)",,
3,13:42,1,10,CLE 28,14,14,Nick Chubb right guard for no gain (tackle by Roy Lopez and Maliek Collins) (no play),,
3,13:16,1,15,CLE 23,14,14,Baker Mayfield pass complete short left to Harrison Bryant for 6 yards (tackle by Vernon Hargreaves),,
