Unnamed: 0,HOU,CLE
First Downs,17,22
Rush-Yds-TDs,28-82-1,34-156-3
Cmp-Att-Yd-TD-INT,18-29-227-2-1,19-21-213-1-1
Sacked-Yards,1-7,2-14
Net Pass Yards,220,199
Total Yards,302,355
Fumbles-Lost,2-1,3-1
Turnovers,2,2
Penalties-Yards,9-78,5-62
Third Down Conv.,8-14,4-9
Fourth Down Conv.,0-0,0-0
Time of Possession,24:55,35:05
