Quarter,Time,Tm,Detail,HOU,CLE
1.0,9:56,Browns,Andy Janovich 1 yard rush (Chase McLaughlin kick),0,7
,5:18,Texans,Phillip Lindsay 22 yard pass from Tyrod Taylor (Joey Slye kick),7,7
2.0,7:06,Texans,Tyrod Taylor 15 yard rush (Joey Slye kick),14,7
,1:14,Browns,Baker Mayfield 5 yard rush (Chase McLaughlin kick),14,14
3.0,7:50,Browns,Demetric Felton 33 yard pass from Baker Mayfield (Chase McLaughlin kick),14,21
,4:40,Browns,Chase McLaughlin 30 yard field goal,14,24
4.0,11:32,Texans,Brandin Cooks 2 yard pass from Davis Mills (Joey Slye kick),21,24
,5:52,Browns,Nick Chubb 26 yard rush (Chase McLaughlin kick),21,31
