Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Mark Ingram,HOU,14,41,0,2,3,0.2,38,2.7,3,4.7
David Johnson,HOU,6,25,0,1,7,1.2,18,3.0,0,
Phillip Lindsay,HOU,5,2,0,1,0,0.0,2,0.4,0,
Davis Mills,HOU,2,-1,0,0,-3,-1.5,2,1.0,0,
Tyrod Taylor,HOU,1,15,1,1,15,15.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Kareem Hunt,CLE,13,51,0,3,23,1.8,28,2.2,2,6.5
Nick Chubb,CLE,11,95,1,5,34,3.1,61,5.5,1,11.0
Baker Mayfield,CLE,8,10,1,2,10,1.3,0,0.0,0,
Andy Janovich,CLE,2,0,1,1,-1,-0.5,1,0.5,0,
