Quarter,Time,Tm,Detail,BAL,MIA
1.0,8:23,Dolphins,Dan Carpenter 21 yard field goal,0,3
,1:31,Ravens,Matt Stover 47 yard field goal,3,3
2.0,8:44,Ravens,Terrell Suggs 44 yard interception return (Matt Stover kick),10,3
,4:31,Dolphins,Dan Carpenter 26 yard field goal,10,6
,0:30,Ravens,Derrick Mason 11 yard pass from Joe Flacco (Matt Stover kick),17,6
3.0,8:32,Ravens,Matt Stover 28 yard field goal,20,6
,4:56,Dolphins,Davone Bess 7 yard pass from Chad Pennington (Dan Carpenter kick),20,13
4.0,6:28,Ravens,Willis McGahee 5 yard rush (Matt Stover kick),27,13
