Unnamed: 0,BAL,MIA
First Downs,22,21
Rush-Yds-TDs,36-139-1,22-71-0
Cmp-Att-Yd-TD-INT,17-23-232-1-0,24-35-295-1-1
Sacked-Yards,2-14,1-7
Net Pass Yards,218,288
Total Yards,357,359
Fumbles-Lost,2-1,0-0
Turnovers,1,1
Penalties-Yards,7-67,6-28
Third Down Conv.,6-13,5-13
Fourth Down Conv.,1-1,0-1
Time of Possession,31:43,28:17
