Quarter,Time,Tm,Detail,PIT,CIN
1.0,5:11,Bengals,Shayne Graham 31 yard field goal,0,3
,2:42,Steelers,Hines Ward 21 yard pass from Ben Roethlisberger (Jeff Reed kick),7,3
2.0,7:42,Steelers,Hines Ward 6 yard pass from Ben Roethlisberger (Jeff Reed kick),14,3
,2:16,Bengals,Shayne Graham 20 yard field goal,14,6
,0:04,Steelers,Willie Parker 1 yard rush (Jeff Reed kick),21,6
4.0,13:02,Bengals,T.J. Houshmandzadeh 9 yard pass from Carson Palmer (Shayne Graham kick),21,13
,6:09,Steelers,Jeff Reed 40 yard field goal,24,13
