Unnamed: 0,PIT,CIN
First Downs,23,15
Rush-Yds-TDs,33-160-1,21-91-0
Cmp-Att-Yd-TD-INT,19-26-230-2-1,23-31-205-1-0
Sacked-Yards,1-0,0-0
Net Pass Yards,230,205
Total Yards,390,296
Fumbles-Lost,0-0,2-1
Turnovers,1,1
Penalties-Yards,3-20,2-10
Third Down Conv.,8-11,6-11
Fourth Down Conv.,0-0,1-1
Time of Possession,32:43,27:17
