Unnamed: 0,CAR,NYG
First Downs,23,9
Rush-Yds-TDs,45-223-1,13-41-0
Cmp-Att-Yd-TD-INT,15-22-140-1-0,10-18-113-0-3
Sacked-Yards,4-28,4-22
Net Pass Yards,112,91
Total Yards,335,132
Fumbles-Lost,1-0,2-2
Turnovers,0,5
Penalties-Yards,7-52,2-15
Third Down Conv.,7-15,1-7
Fourth Down Conv.,0-0,0-0
Time of Possession,42:45,17:15
