Unnamed: 0,CAR,NOR
First Downs,14,16
Rush-Yds-TDs,41-171-0,32-143-0
Cmp-Att-Yd-TD-INT,5-15-43-0-2,15-25-171-1-0
Sacked-Yards,2-11,1-10
Net Pass Yards,32,161
Total Yards,203,304
Fumbles-Lost,3-0,1-1
Turnovers,2,1
Penalties-Yards,2-20,2-15
Third Down Conv.,8-14,4-13
Fourth Down Conv.,0-0,0-1
Time of Possession,30:55,29:05
