Quarter,Time,Tm,Detail,CAR,NOR
1,11:01,Saints,Chris Olave 25 yard pass from Andy Dalton (Wil Lutz kick),0,7
3,6:45,Panthers,Michael Jordan fumble recovery in end zone (Eddy Pineiro kick),7,7
4,0:00,Panthers,Eddy Pineiro 42 yard field goal,10,7
