Unnamed: 0,NYG,DAL
First Downs,20,26
Rush-Yds-TDs,25-73-1,39-201-1
Cmp-Att-Yd-TD-INT,21-39-294-1-2,23-33-324-3-1
Sacked-Yards,0-0,2-10
Net Pass Yards,294,314
Total Yards,367,515
Fumbles-Lost,1-0,2-1
Turnovers,2,2
Penalties-Yards,5-48,8-58
Third Down Conv.,4-13,8-14
Fourth Down Conv.,2-3,1-2
Time of Possession,27:48,32:12
