Quarter,Time,Tm,Detail,NYG,DAL
1.0,6:17,Cowboys,Greg Zuerlein 31 yard field goal,0,3
2.0,11:59,Cowboys,CeeDee Lamb 49 yard pass from Dak Prescott (Greg Zuerlein kick),0,10
,10:10,Giants,Graham Gano 51 yard field goal,3,10
,2:51,Giants,Devontae Booker 1 yard rush (Graham Gano kick),10,10
,0:36,Cowboys,Amari Cooper 24 yard pass from Dak Prescott (Greg Zuerlein kick),10,17
3.0,11:14,Giants,Graham Gano 51 yard field goal,13,17
,7:11,Cowboys,Ezekiel Elliott 4 yard pass from Dak Prescott (Greg Zuerlein kick),13,24
,2:02,Cowboys,Greg Zuerlein 38 yard field goal,13,27
4.0,7:34,Cowboys,Ezekiel Elliott 13 yard rush (Greg Zuerlein kick),13,34
,3:17,Giants,Devontae Booker 3 yard pass from Mike Glennon (Graham Gano kick),20,34
,1:53,Cowboys,Greg Zuerlein 31 yard field goal,20,37
,1:28,Cowboys,Anthony Brown 45 yard interception return (Greg Zuerlein kick),20,44
