Unnamed: 0,PHI,JAX
First Downs,28,16
Rush-Yds-TDs,30-199-1,27-70-1
Cmp-Att-Yd-TD-INT,28-48-230-2-0,13-23-197-1-0
Sacked-Yards,5-23,1-0
Net Pass Yards,207,197
Total Yards,406,267
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,10-75,4-21
Third Down Conv.,7-17,2-11
Fourth Down Conv.,3-4,1-1
Time of Possession,34:58,25:02
