Quarter,Time,Down,ToGo,Location,PHI,JAX,Detail,EPB,EPA
2,11:29,1,10,JAX 44,0,6,Dorsey Levens right tackle for 4 yards (tackle by John Henderson),2.650,2.650
2,10:48,2,6,JAX 40,0,6,Donovan McNabb pass incomplete intended for Chad Lewis,2.650,1.950
2,10:43,3,6,JAX 40,0,6,Donovan McNabb sacked by Marco Coleman for 0 yards,1.950,0.590
2,10:05,4,6,JAX 40,0,6,"Sean Landeta punts 30 yards, fair catch by Bobby Shaw",0.590,0.380
2,9:59,1,10,JAX 10,0,6,Fred Taylor right end for 5 yards (tackle by N.D. Kalu),-0.380,-0.350
2,9:19,2,5,JAX 15,0,6,Fred Taylor middle for -1 yards (tackle by Hugh Douglas),-0.350,-0.950
2,8:34,3,6,JAX 14,0,6,Mark Brunell pass incomplete intended for Jimmy Smith,-0.950,-2.470
2,8:29,4,6,JAX 14,0,6,"Chris Hanson punts 39 yards, returned by Brian Mitchell for 12 yards (tackle by Akin Ayodele). Penalty on Ike Reese: Offensive Holding, 10 yards",-2.470,-1.400
2,8:19,1,10,PHI 37,0,6,Donovan McNabb pass incomplete intended for James Thrash (defended by Fernando Bryant),1.400,0.860
2,8:13,2,10,PHI 37,0,6,Duce Staley middle for 6 yards (tackle by Akin Ayodele),0.860,0.960
2,7:37,3,4,PHI 43,0,6,Donovan McNabb pass complete to Brian Westbrook for 6 yards (tackle by Eric Westmoreland),0.960,2.190
2,6:59,1,10,PHI 49,0,6,Duce Staley middle for 8 yards (tackle by Tony Brackens),2.190,2.730
2,6:18,2,2,JAX 43,0,6,Donovan McNabb pass complete to James Thrash for 22 yards (tackle by Fernando Bryant),2.730,4.170
2,5:41,1,10,JAX 21,0,6,Donovan McNabb pass complete to Chad Lewis for 8 yards (tackle by Wali Rainer and Donovin Darius),4.170,4.950
2,5:05,2,2,JAX 13,0,6,Duce Staley right tackle for 8 yards (tackle by Wali Rainer),4.950,6.060
2,4:27,1,5,JAX 5,0,6,Duce Staley middle for 1 yard (tackle by John Henderson),6.060,5.340
2,3:47,2,4,JAX 4,6,6,"Donovan McNabb pass complete to Chad Lewis for 4 yards, touchdown",5.340,7.000
2,3:47,,,JAX 4,7,6,David Akers kicks extra point good,0.000,0.000
2,3:47,,,PHI 30,7,6,"David Akers kicks off 66 yards, out of bounds",0.000,1.600
2,3:41,1,10,JAX 40,7,6,Mark Brunell pass incomplete intended for Kyle Brady,1.600,1.050
2,3:36,2,10,JAX 40,7,6,Mark Brunell pass complete to Fred Taylor for 7 yards (tackle by Shawn Barber),1.050,1.290
2,3:07,3,3,JAX 47,7,6,Mark Brunell pass incomplete intended for Jimmy Smith (defended by Al Harris),1.290,-0.260
2,3:00,4,3,JAX 47,7,6,"Chris Hanson punts 40 yards, fair catch by Brian Mitchell. Penalty on PHI: Defensive 12 On-field, 5 yards (no play)",-0.260,2.390
2,2:55,1,10,PHI 48,7,6,Mark Brunell pass complete to Pete Mitchell for 10 yards (tackle by Bobby Taylor),2.390,3.050
2,2:34,1,10,PHI 38,7,6,Fred Taylor right tackle for 10 yards (tackle by Blaine Bishop and Brian Dawkins),3.050,3.710
2,2:00,1,10,PHI 28,7,6,Mark Brunell pass complete to Jimmy Smith for 26 yards (tackle by Brian Dawkins),3.710,6.740
2,1:20,1,2,PHI 2,7,12,"Mark Brunell pass complete to Kyle Brady for 2 yards, touchdown",6.740,7.000
2,1:15,1,2,PHI 2,,,Timeout #2 by Philadelphia Eagles,6.740,6.740
2,1:15,1,,PHI 2,7,14,"Two Point Attempt: Mark Brunell pass complete to Fred Taylor, conversion succeeds",1.000,1.000
2,1:15,,,JAX 30,7,14,"Hayden Epstein kicks off 49 yards, returned by N.D. Kalu for no gain",0.000,0.340
2,1:14,1,10,PHI 21,7,14,Donovan McNabb pass complete to Duce Staley for 12 yards (tackle by Danny Clark),0.340,1.140
2,0:49,1,10,PHI 33,7,14,Donovan McNabb pass complete to Antonio Freeman for 7 yards (tackle by Marlon McCree),1.140,1.540
2,0:42,1,10,PHI 33,,,Timeout #3 by Philadelphia Eagles,1.140,1.540
2,0:42,2,3,PHI 40,7,14,"Penalty on Todd Pinkston: False Start, 5 yards (no play)",1.540,0.860
2,0:42,2,8,PHI 35,7,14,Donovan McNabb middle for 10 yards (tackle by Ike Charlton),0.860,1.930
2,0:27,1,10,PHI 45,7,14,Donovan McNabb pass incomplete,1.930,1.380
2,0:27,2,10,PHI 45,7,14,Donovan McNabb pass incomplete intended for Antonio Freeman,1.380,0.700
2,0:18,3,10,PHI 45,7,14,Donovan McNabb for 10 yards (tackle by Ike Charlton),0.700,2.590
2,0:10,1,10,JAX 45,7,14,Donovan McNabb middle for 2 yards (tackle by Rob Meier),2.590,2.310
Quarter,Time,Down,ToGo,Location,PHI,JAX,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PHI 30,7,14,"David Akers kicks off 73 yards, touchback",0.000,0.280
3,15:00,1,10,JAX 20,7,14,Fred Taylor middle for 1 yard (tackle by Carlos Emmons),0.280,-0.130
3,14:25,2,9,JAX 21,7,14,Mark Brunell middle for 4 yards (tackle by Shawn Barber),-0.130,-0.300
3,13:42,3,5,JAX 25,7,14,"Mark Brunell pass complete to Jimmy Smith for 13 yards. Penalty on Jimmy Smith: Offensive Pass Interference, 10 yards (no play)",-0.300,-1.860
3,13:17,3,15,JAX 15,7,14,Mark Brunell pass incomplete intended for Fred Taylor,-1.860,-2.440
3,13:11,4,15,JAX 15,7,14,"Chris Hanson punts 54 yards, returned by Brian Mitchell for 9 yards (tackle by Akin Ayodele)",-2.440,-1.600
3,12:59,1,10,PHI 40,7,14,Dorsey Levens middle for 5 yards (tackle by Danny Clark),1.600,1.730
3,12:22,2,5,PHI 45,7,14,Duce Staley right end for 3 yards (tackle by Marcus Stroud),1.730,1.420
3,11:41,3,2,PHI 48,7,14,Donovan McNabb sacked by John Henderson for -11 yards,1.420,-0.910
3,11:16,4,13,PHI 37,7,14,"Sean Landeta punts 35 yards, returned by Bobby Shaw for 4 yards (tackle by Mike Bartrum)",-0.910,-1.070
3,11:05,1,10,JAX 32,7,14,Fred Taylor right tackle for 3 yards (tackle by Carlos Emmons),1.070,0.930
3,10:33,2,7,JAX 35,7,14,Mark Brunell pass incomplete intended for Jimmy Smith (defended by Brandon Whiting),0.930,0.230
3,10:29,3,7,JAX 35,7,14,Mark Brunell pass incomplete intended for Jimmy Smith (defended by Al Harris). Penalty on Zach Wiegert: Illegal Formation (Declined),0.230,-1.040
3,10:23,4,7,JAX 35,7,14,"Chris Hanson punts 39 yards, returned by Brian Mitchell for 31 yards (tackle by Chris Hanson)",-1.040,-2.720
3,10:10,1,10,JAX 43,7,14,Duce Staley right tackle for 14 yards (tackle by Marlon McCree),2.720,3.640
3,9:28,1,10,JAX 29,7,14,Donovan McNabb pass complete to Todd Pinkston for 10 yards (tackle by Fernando Bryant),3.640,4.310
3,9:00,1,10,JAX 19,7,14,Donovan McNabb pass complete to Duce Staley for 1 yard (tackle by Kiwaukee Thomas),4.310,3.880
3,8:33,2,9,JAX 18,7,14,Donovan McNabb for 5 yards,3.880,3.960
3,7:59,3,4,JAX 13,7,14,Donovan McNabb pass incomplete intended for Todd Pinkston,3.960,2.640
3,7:53,4,4,JAX 13,10,14,David Akers 31 yard field goal good,2.640,3.000
3,7:53,,,PHI 30,10,14,"David Akers kicks off 70 yards, touchback",0.000,0.280
3,7:49,1,10,JAX 20,10,14,Mark Brunell pass complete to Pete Mitchell for 8 yards (tackle by Barry Gardner and Brian Dawkins),0.280,0.810
3,7:15,2,2,JAX 28,10,14,Fred Taylor right end for -1 yards (tackle by Troy Vincent),0.810,-0.030
3,6:31,3,3,JAX 27,10,14,Mark Brunell pass complete to Jimmy Smith for 9 yards (tackle by Al Harris),-0.030,1.330
3,5:52,1,10,JAX 36,10,14,Mark Brunell sacked by Darwin Walker for 0 yards,1.330,0.790
3,5:12,2,10,JAX 36,10,14,Fred Taylor middle for 1 yard (tackle by Hugh Douglas),0.790,0.230
3,4:32,3,9,JAX 37,10,14,Mark Brunell pass complete to Fred Taylor for 8 yards (tackle by Al Harris),0.230,-0.390
3,4:08,4,1,JAX 45,10,14,"Chris Hanson punts 55 yards, touchback. Penalty on Dameane Douglas: Offensive Holding, 10 yards",-0.390,0.380
3,4:00,1,10,PHI 10,10,14,Donovan McNabb pass complete to James Thrash for 7 yards (tackle by Kiwaukee Thomas),-0.380,-0.090
3,3:25,2,3,PHI 17,10,14,Duce Staley middle for 3 yards (tackle by Ainsley Battles and Rob Meier),-0.090,0.280
3,2:50,1,10,PHI 20,10,14,Donovan McNabb pass complete to James Thrash for 14 yards (tackle by Donovin Darius),0.280,1.200
3,2:26,1,10,PHI 34,10,14,Donovan McNabb pass incomplete intended for Todd Pinkston,1.200,0.660
3,2:22,2,10,PHI 34,10,14,Donovan McNabb pass incomplete intended for James Thrash,0.660,-0.030
3,2:18,3,10,PHI 34,10,14,Donovan McNabb pass complete to Antonio Freeman for 2 yards (tackle by Fernando Bryant),-0.030,-0.980
3,1:52,4,8,PHI 36,10,14,Sean Landeta punts 43 yards,-0.980,-0.340
3,1:40,1,10,JAX 21,10,14,Fred Taylor middle for 2 yards (tackle by Barry Gardner and Carlos Emmons),0.340,0.070
3,1:06,2,8,JAX 23,10,14,Mark Brunell middle for 9 yards,0.070,1.070
3,0:23,1,10,JAX 32,10,14,Mark Brunell pass complete to Jimmy Smith for 47 yards (tackle by Blaine Bishop),1.070,4.170
Quarter,Time,Down,ToGo,Location,PHI,JAX,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,PHI 21,10,14,Fred Taylor middle for 1 yard (tackle by Barry Gardner),4.170,3.760
4,14:23,2,9,PHI 20,10,14,Mark Brunell pass incomplete intended for Jimmy Smith,3.760,3.070
4,14:18,2,9,PHI 20,,,Timeout #1 by Jacksonville Jaguars,3.760,3.070
4,14:18,3,9,PHI 20,10,14,Mark Brunell pass complete to Jimmy Smith for 9 yards (tackle by Troy Vincent),3.070,4.840
4,13:40,1,10,PHI 11,10,14,Mark Brunell middle for 7 yards (tackle by Carlos Emmons),4.840,5.470
4,12:54,2,3,PHI 4,10,14,Fred Taylor middle for 2 yards (tackle by Darwin Walker),5.470,5.120
4,12:10,3,1,PHI 2,10,14,Stacey Mack left tackle for no gain (tackle by Levon Kirkland),5.120,3.250
4,11:27,4,1,PHI 2,10,14,Stacey Mack middle for 1 yard (tackle by Barry Gardner),3.250,6.970
4,10:41,1,1,PHI 1,10,20,"Stacey Mack middle for 1 yard, touchdown",6.970,7.000
4,10:41,,,PHI 1,10,21,Hayden Epstein kicks extra point good,0.000,0.000
4,10:41,,,JAX 30,10,21,"Hayden Epstein kicks off 68 yards, returned by Brian Mitchell for 22 yards (tackle by Jimmy Redmond)",0.000,0.540
4,10:30,1,10,PHI 24,10,21,"Donovan McNabb middle for 4 yards. Penalty on Donovin Darius: Illegal Contact, 5 yards",0.540,1.140
4,10:03,1,10,PHI 33,10,21,Donovan McNabb pass complete to Chad Lewis for 7 yards (tackle by Donovin Darius),1.140,1.540
4,9:29,2,3,PHI 40,10,21,Duce Staley middle for 2 yards (tackle by John Henderson),1.540,1.090
4,8:58,3,1,PHI 42,10,21,Donovan McNabb middle for 3 yards (tackle by Marcus Stroud),1.090,1.930
4,8:25,1,10,PHI 45,10,21,Donovan McNabb pass incomplete intended for James Thrash,1.930,1.380
4,8:18,2,10,PHI 45,10,21,Donovan McNabb sacked by Donovin Darius for -7 yards,1.380,-0.230
4,7:41,3,17,PHI 38,10,21,"Donovan McNabb pass complete to Antonio Freeman for 57 yards (tackle by Marlon McCree). Penalty on Tra Thomas: Offensive Holding, 10 yards (no play)",-0.230,-1.550
4,7:05,3,27,PHI 28,10,21,Donovan McNabb sacked by John Henderson for -5 yards,-1.550,-1.830
4,6:40,4,32,PHI 23,10,27,"Sean Landeta punts 46 yards, returned by Bobby Shaw for 69 yards, touchdown",-1.830,-7.000
4,6:23,,,PHI 23,10,28,Hayden Epstein kicks extra point good,0.000,0.000
4,6:23,,,JAX 30,10,28,"Hayden Epstein kicks off 66 yards, returned by Brian Mitchell for 21 yards (tackle by Eric Westmoreland)",0.000,0.610
4,6:18,1,10,PHI 25,10,28,Duce Staley middle for 9 yards (tackle by Marcus Stroud),0.610,1.280
4,5:51,2,1,PHI 34,10,28,Donovan McNabb pass complete to Chad Lewis for 8 yards (tackle by Marlon McCree),1.280,1.730
4,5:43,2,1,PHI 34,,,Timeout #2 by Jacksonville Jaguars,1.280,1.730
4,5:43,1,10,PHI 42,10,28,Donovan McNabb middle for 24 yards (tackle by Ike Charlton),1.730,3.310
4,5:11,1,10,JAX 34,10,28,Donovan McNabb pass complete to Todd Pinkston for 3 yards (tackle by Ike Charlton),3.310,3.180
4,4:46,2,7,JAX 31,10,28,Donovan McNabb pass complete to Duce Staley for 3 yards (tackle by Donovin Darius),3.180,2.870
4,4:17,3,4,JAX 28,10,28,Donovan McNabb pass complete to Todd Pinkston for 8 yards (tackle by Ike Charlton),2.870,4.240
4,3:53,1,10,JAX 20,10,28,Duce Staley middle for 5 yards (tackle by Marcus Stroud),4.240,4.450
4,3:27,2,5,JAX 15,10,28,Donovan McNabb pass incomplete intended for Todd Pinkston,4.450,3.700
4,3:23,3,5,JAX 15,10,28,Donovan McNabb pass incomplete intended for Chad Lewis,3.700,2.490
4,3:19,4,5,JAX 15,10,28,Donovan McNabb pass complete to Antonio Freeman for 11 yards (tackle by Donovin Darius),2.490,6.280
4,2:54,1,4,JAX 4,16,28,"Donovan McNabb middle for 4 yards, touchdown",6.280,7.000
4,2:54,1,,JAX 4,18,28,"Two Point Attempt: Donovan McNabb pass incomplete intended for Chad Lewis, conversion fails. Penalty on Donovin Darius: Defensive Pass Interference, 1 yards (no play)",1.000,1.000
4,2:54,1,,JAX 4,18,28,"Two Point Attempt: Duce Staley middle, conversion succeeds",1.000,1.000
4,2:54,,,PHI 30,18,28,David Akers kicks onside 40 yards,0.000,-1.600
4,2:48,1,10,JAX 40,18,28,Fred Taylor left tackle for 3 yards (tackle by Carlos Emmons),1.600,1.460
4,2:41,1,10,JAX 40,,,Timeout #1 by Philadelphia Eagles,1.600,1.460
4,2:40,2,7,JAX 43,18,28,Fred Taylor middle for 2 yards (tackle by Jeremy Slechta),1.460,1.030
4,2:35,2,7,JAX 43,,,Timeout #2 by Philadelphia Eagles,1.460,1.030
4,2:35,3,5,JAX 45,18,28,Fred Taylor right end for 1 yard (tackle by Carlos Emmons),1.030,-0.320
4,2:28,3,5,JAX 45,,,Timeout #3 by Philadelphia Eagles,1.030,-0.320
4,2:28,4,4,JAX 46,18,28,"Chris Hanson punts 36 yards, out of bounds",-0.320,-0.040
4,2:20,1,10,PHI 18,18,28,Donovan McNabb middle for 26 yards,0.040,1.860
4,2:00,1,10,PHI 44,18,28,Donovan McNabb pass complete to Duce Staley for 5 yards (tackle by Fernando Bryant),1.860,1.990
4,1:36,2,5,PHI 49,18,28,Donovan McNabb pass complete to Duce Staley for 15 yards (tackle by Jason Craft),1.990,3.180
4,1:17,1,10,JAX 36,18,28,"Donovan McNabb pass incomplete. Penalty on Marcus Stroud: Defensive Offside, 5 yards (no play)",3.180,3.910
4,1:16,1,5,JAX 31,18,28,Donovan McNabb pass incomplete intended for Antonio Freeman,3.910,3.310
4,1:16,2,5,JAX 31,18,28,"Penalty on Doug Brzezinski: False Start, 5 yards (no play)",3.310,2.640
4,1:10,2,10,JAX 36,18,28,Donovan McNabb pass incomplete intended for Antonio Freeman (defended by Kiwaukee Thomas),2.640,1.950
4,1:04,3,10,JAX 36,18,28,Donovan McNabb pass incomplete intended for Antonio Freeman,1.950,0.880
4,0:57,4,10,JAX 36,18,28,Donovan McNabb pass complete to James Thrash for 14 yards (tackle by Donovin Darius),0.880,4.110
4,0:38,1,10,JAX 22,18,28,Donovan McNabb pass complete to Todd Pinkston for no gain,4.110,3.560
4,0:37,2,10,JAX 22,18,28,Donovan McNabb pass incomplete intended for Antonio Freeman,3.560,2.870
4,0:32,3,10,JAX 22,18,28,Donovan McNabb pass incomplete intended for Antonio Freeman,2.870,1.990
4,0:24,4,10,JAX 22,18,28,Donovan McNabb pass complete to Chad Lewis for 14 yards (tackle by Ike Charlton),1.990,5.370
4,0:24,1,8,JAX 8,18,28,Donovan McNabb pass incomplete,5.370,4.570
4,0:08,2,8,JAX 8,18,28,Donovan McNabb pass incomplete intended for Todd Pinkston (defended by Kiwaukee Thomas),4.570,3.580
4,0:03,2,8,JAX 8,,,Timeout #3 by Jacksonville Jaguars,4.570,3.580
4,0:03,3,8,JAX 8,24,28,"Donovan McNabb pass complete to Antonio Freeman for 8 yards, touchdown",3.580,7.000
4,0:03,,,JAX 8,25,28,David Akers kicks extra point good,0.000,0.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
