Unnamed: 0,SFO,STL
First Downs,19,14
Rush-Yds-TDs,40-219-3,19-18-0
Cmp-Att-Yd-TD-INT,15-23-167-2-0,19-41-202-1-1
Sacked-Yards,2-16,5-32
Net Pass Yards,151,170
Total Yards,370,188
Fumbles-Lost,2-2,2-1
Turnovers,2,2
Penalties-Yards,10-85,8-82
Third Down Conv.,6-15,3-17
Fourth Down Conv.,1-1,0-0
Time of Possession,31:45,28:15
