Quarter,Time,Tm,Detail,SFO,STL
1.0,7:09,Rams,Greg Zuerlein 40 yard field goal,0,3
2.0,6:22,49ers,Anquan Boldin 20 yard pass from Colin Kaepernick (Phil Dawson kick),7,3
,0:37,49ers,Frank Gore 34 yard rush (Phil Dawson kick),14,3
3.0,8:49,49ers,Vernon Davis 12 yard pass from Colin Kaepernick (Phil Dawson kick),21,3
4.0,10:15,49ers,Anthony Dixon 1 yard rush (Phil Dawson kick),28,3
,5:44,Rams,Lance Kendricks 6 yard pass from Sam Bradford (Benny Cunningham run),28,11
,4:25,49ers,Kendall Hunter 29 yard rush (Phil Dawson kick),35,11
