Unnamed: 0,OAK,DEN
First Downs,13,31
Rush-Yds-TDs,17-49-1,35-164-1
Cmp-Att-Yd-TD-INT,21-31-316-2-0,32-37-374-3-0
Sacked-Yards,3-23,1-2
Net Pass Yards,293,372
Total Yards,342,536
Fumbles-Lost,1-0,3-2
Turnovers,0,2
Penalties-Yards,8-77,5-40
Third Down Conv.,5-12,5-9
Fourth Down Conv.,0-1,0-0
Time of Possession,24:36,35:24
