#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,14:48,CAR 22,7,2:56,16,Field Goal
2,1,9:26,MIN 35,2,0:17,5,Fumble
3,1,8:27,MIN 47,11,5:30,46,Field Goal
4,1,0:07,MIN 15,9,4:08,85,Touchdown
5,2,10:33,MIN 21,3,1:50,-3,Punt
6,2,4:20,MIN 25,3,1:16,9,Punt
7,2,0:44,MIN 11,5,0:44,21,End of Half
8,3,15:00,MIN 25,4,1:48,-9,Punt
9,3,8:10,MIN 8,4,1:21,16,Blocked Punt
10,3,6:49,MIN 21,5,2:49,79,Touchdown
11,3,3:51,CAR 39,4,1:27,39,Touchdown
12,4,14:52,MIN 17,8,4:37,63,Field Goal
13,4,8:30,CAR 38,4,1:30,6,Missed FG
14,4,4:41,MIN 25,4,2:32,34,Punt
15,4,0:42,MIN 25,7,0:41,46,Missed FG
16,5,10:00,MIN 25,9,4:12,75,Touchdown
