Unnamed: 0,MIN,CAR
First Downs,26,20
Rush-Yds-TDs,36-198-1,23-118-1
Cmp-Att-Yd-TD-INT,33-48-373-3-0,17-41-207-1-1
Sacked-Yards,0-0,4-19
Net Pass Yards,373,188
Total Yards,571,306
Fumbles-Lost,4-1,2-2
Turnovers,1,3
Penalties-Yards,11-98,6-28
Third Down Conv.,7-16,2-12
Fourth Down Conv.,0-0,2-2
Time of Possession,37:38,26:34
