Quarter,Time,Tm,Detail,MIN,CAR
1,11:52,Vikings,Greg Joseph 25 yard field goal,3,0
,8:27,Panthers,Chuba Hubbard 2 yard rush (Zane Gonzalez kick),3,7
,2:57,Vikings,Greg Joseph 25 yard field goal,6,7
2,10:59,Vikings,Chris Herndon 2 yard pass from Kirk Cousins (run failed),12,7
,4:20,Panthers,Zane Gonzalez 47 yard field goal,12,10
3,6:49,Panthers,Kenny Robinson Jr. 4 yard blocked punt return (Zane Gonzalez kick),12,17
,4:00,Vikings,Dalvin Cook 16 yard rush (pass failed),18,17
,2:24,Vikings,Adam Thielen 5 yard pass from Kirk Cousins (Greg Joseph kick),25,17
4,10:15,Vikings,Greg Joseph 38 yard field goal,28,17
,4:41,Panthers,Zane Gonzalez 23 yard field goal,28,20
,0:42,Panthers,Robbie Chosen 7 yard pass from Sam Darnold (Tommy Tremble pass from Sam Darnold),28,28
OT,5:48,Vikings,K.J. Osborn 27 yard pass from Kirk Cousins,34,28
