Unnamed: 0,SEA,OAK
First Downs,19,15
Rush-Yds-TDs,37-155-0,19-79-0
Cmp-Att-Yd-TD-INT,17-23-222-3-1,23-31-142-0-0
Sacked-Yards,1-8,6-36
Net Pass Yards,214,106
Total Yards,369,185
Fumbles-Lost,1-0,3-2
Turnovers,1,2
Penalties-Yards,8-64,5-38
Third Down Conv.,9-13,4-12
Fourth Down Conv.,0-0,0-1
Time of Possession,31:26,28:34
