Quarter,Time,Tm,Detail,SEA,OAK
1.0,7:24,Seahawks,Jaron Brown 5 yard pass from Russell Wilson (Sebastian Janikowski kick),7,0
2.0,14:10,Seahawks,David Moore 19 yard pass from Russell Wilson (Sebastian Janikowski kick),14,0
,0:00,Seahawks,Sebastian Janikowski 44 yard field goal,17,0
3.0,11:42,Seahawks,Sebastian Janikowski 26 yard field goal,20,0
4.0,14:55,Seahawks,Tyler Lockett 10 yard pass from Russell Wilson (Sebastian Janikowski kick),27,0
,8:25,Raiders,Matthew McCrane 43 yard field goal,27,3
