Quarter,Time,Down,ToGo,Location,NYG,SFO,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss and deferred, 49ers to receive the opening kickoff.",,
1,15:00,,,NYG 35,0,0,"Lawrence Tynes kicks off 57 yards, returned by Kendall Hunter for 15 yards (tackle by Spencer Paysinger)",0.000,0.480
1,14:54,1,10,SFO 23,0,0,Frank Gore up the middle for 4 yards (tackle by Jason Pierre-Paul and Chase Blackburn),0.480,0.470
1,14:17,2,6,SFO 27,0,0,Alex Smith pass complete short left to Frank Gore for 6 yards (tackle by Deon Grant),0.470,1.140
1,13:28,1,10,SFO 33,0,0,Kendall Hunter left tackle for -1 yards (tackle by Linval Joseph),1.140,0.460
1,12:54,2,11,SFO 32,0,0,Frank Gore right guard for 7 yards (tackle by Michael Boley),0.460,0.700
1,12:16,3,4,SFO 39,0,0,Alex Smith pass incomplete short middle intended for Frank Gore (defended by Linval Joseph),0.700,-0.780
1,12:11,4,4,SFO 39,0,0,"Andy Lee punts 52 yards, returned by Will Blackmon for 7 yards (tackle by Chris Culliver)",-0.780,0.140
1,12:02,1,10,NYG 16,0,0,Eli Manning pass incomplete short right intended for Hakeem Nicks,-0.140,-0.660
1,11:58,2,10,NYG 16,0,0,Eli Manning pass incomplete deep middle intended for Travis Beckum,-0.660,-1.320
1,11:51,3,10,NYG 16,0,0,Eli Manning pass complete short middle to Victor Cruz for 12 yards (tackle by Dashon Goldson),-1.320,0.810
1,11:22,1,10,NYG 28,0,0,Ahmad Bradshaw up the middle for no gain (tackle by Navorro Bowman and Ahmad Brooks),0.810,0.260
1,10:35,2,10,NYG 28,0,0,Ahmad Bradshaw left end for 3 yards (tackle by Tarell Brown),0.260,-0.030
1,9:59,3,7,NYG 31,0,0,Eli Manning pass complete short right to Hakeem Nicks for 10 yards (tackle by Chris Culliver),-0.030,1.660
1,9:01,1,10,NYG 41,0,0,Eli Manning pass incomplete deep left intended for Victor Cruz,1.660,1.120
1,9:00,2,10,NYG 41,0,0,Ahmad Bradshaw right tackle for 2 yards (tackle by Navorro Bowman),1.120,0.700
1,8:19,3,8,NYG 43,0,0,"Eli Manning sacked by Ray McDonald for -6 yards. Eli Manning fumbles (forced by Ray McDonald), recovered by Kareem McKenzie at NYG-30",0.700,-1.370
1,7:33,4,21,NYG 30,0,0,"Steve Weatherford punts 57 yards, returned by Kyle Williams for 14 yards (tackle by Greg Jones)",-1.370,-0.740
1,7:24,1,10,SFO 27,0,0,Alex Smith pass incomplete short left intended for Michael Crabtree (defended by Chris L. Canty),0.740,0.200
1,7:21,2,10,SFO 27,0,6,"Alex Smith pass complete deep right to Vernon Davis for 73 yards, touchdown. Penalty on Vernon Davis: Unsportsmanlike Conduct, 15 yards",0.200,7.000
,,,,,,,"Replay Assistant challenged the runner was in bounds ruling, and the play was upheld.",,
1,7:21,,,NYG 2,0,7,David Akers kicks extra point good,0.000,0.000
1,7:11,,,SFO 20,0,7,"David Akers kicks off 66 yards, returned by Jerrel Jernigan for 17 yards (tackle by Colin Jones)",0.000,1.000
1,7:05,1,10,NYG 31,0,7,Eli Manning pass complete short left to Travis Beckum for 4 yards (tackle by Patrick Willis),1.000,1.000
1,6:31,2,6,NYG 35,0,7,Ahmad Bradshaw up the middle for 3 yards (tackle by Justin Smith),1.000,0.700
1,5:47,3,3,NYG 38,0,7,Eli Manning pass complete short right to Hakeem Nicks for 7 yards (tackle by Chris Culliver),0.700,1.930
1,5:08,1,10,NYG 45,0,7,Eli Manning pass complete short middle to Brandon Jacobs for 5 yards (tackle by Patrick Willis),1.930,2.060
1,4:29,2,5,,0,7,Ahmad Bradshaw left end for 7 yards (tackle by Donte Whitner),2.060,2.720
1,3:51,1,10,SFO 43,0,7,Ahmad Bradshaw right tackle for 1 yard (tackle by Isaac Sopoaga),2.720,2.310
1,3:08,2,9,SFO 42,0,7,Eli Manning pass complete short left to Henry Hynoski for 8 yards (tackle by Tarell Brown),2.310,2.680
1,2:29,3,1,SFO 34,0,7,Eli Manning pass incomplete short left intended for Mario Manningham,2.680,1.100
1,2:23,4,1,SFO 34,0,7,Brandon Jacobs right guard for no gain (tackle by Navorro Bowman),1.100,-1.200
1,2:13,1,10,SFO 34,0,7,"Kendall Hunter for no gain. Kendall Hunter fumbles, recovered by Kyle Williams at SFO-24",1.200,-0.690
1,1:21,2,20,SFO 24,0,7,Frank Gore left tackle for 6 yards (tackle by Osi Umenyiora),-0.690,-0.560
1,0:47,3,14,SFO 30,0,7,Alex Smith pass incomplete deep left intended for Kyle Williams (defended by Aaron Ross),-0.560,-1.370
1,0:38,4,14,SFO 30,0,7,Andy Lee punts 39 yards,-1.370,-1.000
1,0:31,1,10,NYG 31,0,7,Eli Manning pass incomplete short left intended for Hakeem Nicks,1.000,0.460
1,0:11,2,10,NYG 31,0,7,Brandon Jacobs left tackle for 4 yards (tackle by Justin Smith),0.460,0.300
Quarter,Time,Down,ToGo,Location,NYG,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,6,NYG 35,0,7,Eli Manning pass complete deep right to Victor Cruz for 36 yards (tackle by Carlos Rogers),0.300,3.640
2,14:42,1,10,SFO 29,0,7,Ahmad Bradshaw up the middle for 5 yards (tackle by Justin Smith),3.640,3.780
2,14:02,2,5,SFO 24,0,7,Ahmad Bradshaw left end for 1 yard (tackle by Navorro Bowman),3.780,3.200
2,13:30,3,4,SFO 23,0,7,Eli Manning pass complete short middle to Victor Cruz for 6 yards (tackle by Carlos Rogers),3.200,4.440
2,12:48,1,10,SFO 17,0,7,Eli Manning pass complete short left to Hakeem Nicks for 9 yards (tackle by Patrick Willis),4.440,5.480
2,12:10,2,1,SFO 8,0,7,Brandon Jacobs right guard for 2 yards (tackle by Isaac Sopoaga and Navorro Bowman),5.480,0.000
2,11:25,,,,0,7,Timeout #1 by New York Giants,0.000,5.830
2,11:25,1,6,SFO 6,0,7,Eli Manning pass incomplete short middle intended for Hakeem Nicks,5.830,4.950
2,11:21,2,6,SFO 6,6,7,"Eli Manning pass complete short right to Bear Pascoe for 6 yards, touchdown",4.950,7.000
2,11:21,,,SFO 2,7,7,Lawrence Tynes kicks extra point good,0.000,0.000
