Unnamed: 0,NYG,SFO
First Downs,20,15
Rush-Yds-TDs,26-85-0,28-150-0
Cmp-Att-Yd-TD-INT,32-58-316-2-0,12-26-196-2-0
Sacked-Yards,6-49,3-18
Net Pass Yards,267,178
Total Yards,352,328
Fumbles-Lost,1-0,4-2
Turnovers,0,2
Penalties-Yards,9-60,6-50
Third Down Conv.,7-21,1-13
Fourth Down Conv.,0-1,0-0
Time of Possession,39:36,28:18
