Unnamed: 0,STL,ARI
First Downs,23,16
Rush-Yds-TDs,35-150-0,17-70-0
Cmp-Att-Yd-TD-INT,23-36-255-0-1,20-35-222-1-0
Sacked-Yards,4-22,3-30
Net Pass Yards,233,192
Total Yards,383,262
Fumbles-Lost,0-0,2-0
Turnovers,1,0
Penalties-Yards,9-71,6-45
Third Down Conv.,3-14,2-10
Fourth Down Conv.,0-1,0-0
Time of Possession,36:58,24:59
