Quarter,Time,Down,ToGo,Location,STL,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,ARI 35,0,0,"Jay Feely kicks off 68 yards, returned by Quinn Porter for 14 yards (tackle by Reggie Walker)",0.000,-0.370
1,14:55,1,10,STL 11,0,0,Steven Jackson left tackle for no gain (tackle by Adrian Wilson),-0.370,-0.780
1,14:19,2,10,STL 11,0,0,Sam Bradford pass incomplete short left intended for Steven Jackson,-0.780,-1.420
1,14:15,3,10,STL 11,0,0,Sam Bradford pass complete short right to Greg Salas for 4 yards (tackle by Clark Haggans and Michael Adams),-1.420,-2.440
1,13:43,4,6,STL 15,0,0,"Donnie Jones punts 59 yards, returned by Patrick Peterson for 22 yards (tackle by Eugene Sims). Penalty on Brit Miller: Personal Foul, 15 yards",-2.440,-3.120
1,13:30,1,10,STL 37,0,0,Chris Wells left tackle for 2 yards (tackle by Brady Poppinga and Chris Chamberlain),3.120,2.840
1,12:54,2,8,STL 35,0,0,John Skelton pass complete short right to Larry Fitzgerald for 11 yards (tackle by Chris Chamberlain),2.840,3.970
1,12:15,1,10,STL 24,0,0,John Skelton pass complete short left to Andre Roberts for 14 yards (tackle by Justin King),3.970,4.910
1,11:41,1,10,STL 10,0,0,Chris Wells left tackle for 1 yard (tackle by James Hall),4.910,4.380
1,11:07,2,9,STL 9,0,0,John Skelton pass incomplete short right intended for Jeff King,4.380,3.360
1,11:00,3,9,STL 9,0,0,John Skelton pass incomplete short middle intended for Larry Fitzgerald (defended by James Hall),3.360,2.830
1,10:56,4,9,STL 9,0,3,Jay Feely 27 yard field goal good. Penalty on Josh Gordy: Running Into the Kicker (Declined),2.830,3.000
1,,,,ARI 35,0,3,"Jay Feely kicks off 66 yards, returned by Quinn Porter for 16 yards (tackle by Hamza Abdullah)",0.000,-0.220
1,10:44,1,10,STL 15,0,3,Steven Jackson up the middle for 9 yards (tackle by Daryl Washington),-0.220,0.620
1,10:14,2,1,STL 24,0,3,Steven Jackson left tackle for 5 yards (tackle by Adrian Wilson),0.620,0.870
1,9:35,1,10,STL 29,0,3,Sam Bradford pass complete short right to Brandon Lloyd for 7 yards (tackle by A.J. Jefferson),0.870,1.270
1,9:02,2,3,STL 36,0,3,Steven Jackson left tackle for 2 yards (tackle by Calais Campbell),1.270,0.830
1,8:20,3,1,STL 38,0,3,"Penalty on Brit Miller: False Start, 5 yards (no play)",0.830,0.170
1,8:03,3,6,STL 33,0,3,Sam Bradford pass complete short middle to Brandon Gibson for 12 yards (tackle by A.J. Jefferson),0.170,1.930
1,7:27,1,10,STL 45,0,3,Sam Bradford pass complete deep middle to Brandon Gibson for 22 yards (tackle by Rashad Johnson),1.930,3.380
1,6:49,1,10,ARI 33,0,3,Steven Jackson right tackle for 3 yards (tackle by Vonnie Holliday),3.380,3.240
1,6:13,2,7,ARI 30,0,3,"Penalty on Jacob Bell: False Start, 5 yards (no play)",3.240,2.570
1,5:47,2,12,ARI 35,0,3,Sam Bradford pass complete short right to Greg Salas for 8 yards (tackle by Paris Lenon),2.570,2.940
1,5:47,3,4,ARI 27,0,3,Sam Bradford sacked by Sam Acho for -3 yards,2.940,1.410
1,4:45,4,7,ARI 30,3,3,Josh Brown 48 yard field goal good,1.410,3.000
1,,,,STL 35,3,3,"Josh Brown kicks off 70 yards, returned by LaRod Stephens-Howling for 22 yards (tackle by Darian Stewart)",0.000,-0.060
1,4:33,1,10,ARI 17,3,3,John Skelton pass incomplete short right intended for Larry Fitzgerald (defended by Josh Gordy),-0.060,-0.580
1,4:29,2,10,ARI 17,3,3,Chris Wells up the middle for 2 yards (tackle by Chris Chamberlain),-0.580,-1.000
1,3:52,3,8,ARI 19,3,3,John Skelton pass complete short right to Early Doucet for 5 yards (tackle by James Laurinaitis),-1.000,-1.770
1,3:20,4,3,ARI 24,3,3,Dave Zastudil punts 63 yards,-1.770,0.320
1,3:04,1,10,STL 13,3,3,Steven Jackson left tackle for 2 yards (tackle by Calais Campbell),-0.320,-0.570
1,2:25,2,8,STL 15,3,3,Steven Jackson up the middle for 8 yards (tackle by Richard Marshall),-0.570,0.480
1,1:44,1,10,STL 23,3,3,Steven Jackson up the middle for 1 yard (tackle by O'Brien Schofield),0.480,0.070
1,1:09,2,9,STL 24,3,3,Sam Bradford pass complete short left to Brandon Lloyd for 13 yards (tackle by Paris Lenon),0.070,1.400
1,0:32,1,10,STL 37,3,3,Sam Bradford pass incomplete deep middle intended for Brandon Lloyd is intercepted by Patrick Peterson at ARI-10,1.400,0.380
1,0:22,1,10,ARI 10,3,3,John Skelton pass complete short left to Larry Fitzgerald for 4 yards (tackle by James Laurinaitis and Justin King),-0.380,-0.460
Quarter,Time,Down,ToGo,Location,STL,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,ARI 14,3,3,Chris Wells up the middle for no gain (tackle by Fred Robbins),-0.460,-0.950
2,14:14,3,6,ARI 14,3,3,"John Skelton pass incomplete deep right intended for Early Doucet (defended by Josh Gordy). Penalty on Chris Long: Defensive Offside, 5 yards (no play)",-0.950,-0.370
2,14:10,3,1,ARI 19,3,3,Chris Wells up the middle for no gain (tackle by Chris Long),-0.370,-2.140
2,13:25,4,1,ARI 19,3,3,"Dave Zastudil punts 52 yards, returned by Austin Pettis for 2 yards (tackle by Demarco Sampson)",-2.140,-1.000
2,13:13,1,10,STL 31,3,3,"Penalty on Darnell Dockett: Neutral Zone Infraction, 5 yards (no play)",1.000,1.730
2,13:13,1,5,STL 36,3,3,Sam Bradford left tackle for 2 yards (tackle by Daryl Washington),1.730,1.410
2,12:30,2,3,STL 38,3,3,Cadillac Williams left tackle for 3 yards (tackle by Adrian Wilson and Nick Eason),1.410,1.660
2,11:57,1,10,STL 41,3,3,Sam Bradford pass incomplete deep right intended for Austin Pettis,1.660,1.120
2,11:49,2,10,STL 41,3,3,Cadillac Williams left tackle for 12 yards (tackle by Paris Lenon),1.120,2.460
2,11:07,1,10,ARI 47,3,3,Sam Bradford pass complete short left to Lance Kendricks for 7 yards (tackle by A.J. Jefferson),2.460,2.860
2,10:28,2,3,ARI 40,3,3,Steven Jackson up the middle for 3 yards (tackle by Paris Lenon),2.860,3.120
2,9:51,1,10,ARI 37,3,3,Steven Jackson left tackle for 11 yards (tackle by Clark Haggans),3.120,3.840
2,9:10,1,10,ARI 26,3,3,Steven Jackson left tackle for 1 yard (tackle by Sam Acho),3.840,3.430
2,8:28,2,9,ARI 25,3,3,Sam Bradford pass complete short middle to Greg Salas for 8 yards (tackle by Daryl Washington),3.430,3.950
2,7:47,3,1,ARI 17,3,3,Steven Jackson up the middle for -2 yards (tackle by Adrian Wilson),3.950,2.280
2,7:47,4,3,ARI 19,6,3,Josh Brown 37 yard field goal good,2.280,3.000
2,,,,STL 35,6,3,"Josh Brown kicks off 70 yards, returned by LaRod Stephens-Howling for 29 yards (tackle by Darian Stewart)",0.000,0.540
2,6:55,1,10,ARI 24,6,3,Chris Wells left end for -4 yards (tackle by Darian Stewart),0.540,-0.540
2,6:13,2,14,ARI 20,6,3,John Skelton pass incomplete deep left intended for Larry Fitzgerald,-0.540,-1.220
2,6:07,3,14,ARI 20,6,3,John Skelton pass complete deep right to Andre Roberts for 20 yards (tackle by Craig Dahl),-1.220,1.600
2,5:20,,,,6,3,Timeout #1 by Arizona Cardinals,0.000,1.600
2,5:20,1,10,ARI 40,6,3,John Skelton pass complete short left to Andre Roberts for 11 yards (tackle by Justin King and Brady Poppinga),1.600,2.320
