Quarter,Time,Down,ToGo,Location,DEN,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss, Broncos to receive the opening kickoff.",,
1,15:00,,,CLE 30,0,0,"Phil Dawson kicks off 73 yards, returned by Quincy Morgan for 12 yards (tackle by Chaun Thompson)",0.000,-0.380
1,14:57,1,10,DEN 9,0,0,Tatum Bell left tackle for 3 yards (tackle by Andra Davis and D'Qwell Jackson),-0.380,-0.560
1,14:19,2,7,DEN 12,0,0,Tatum Bell left tackle for 3 yards (tackle by D'Qwell Jackson),-0.560,-0.720
1,13:39,3,4,DEN 15,0,0,Jake Plummer pass complete short right to Rod Smith for 6 yards (tackle by Gary Baxter and Brodney Pool),-0.720,0.340
1,13:00,1,10,DEN 21,0,0,Jake Plummer pass incomplete short right intended for Brandon Marshall,0.340,-0.200
1,12:54,2,10,DEN 21,0,0,Jake Plummer pass incomplete deep left intended for Rod Smith,-0.200,-0.890
1,12:46,3,10,DEN 21,0,0,Jake Plummer pass complete short right to Tatum Bell for -1 yards (tackle by Willie McGinest),-0.890,-2.030
1,12:06,4,11,DEN 20,0,0,"Paul Ernster punts 39 yards, muffed catch by Josh Cribbs, recovered by Cecil Sapp and returned for no gain",-2.030,2.920
1,11:55,1,10,CLE 40,0,0,Tatum Bell left tackle for 4 yards (tackle by Andra Davis),2.920,2.910
1,11:20,2,6,CLE 36,0,0,Jake Plummer pass incomplete short left intended for Stephen Alexander,2.910,2.210
1,11:14,3,6,CLE 36,0,0,Jake Plummer pass incomplete short left intended for Rod Smith (defended by Gary Baxter),2.210,0.880
1,11:09,4,6,CLE 36,0,0,Paul Ernster punts 19 yards,0.880,0.060
1,11:01,1,10,CLE 17,0,0,Reuben Droughns right guard for -1 yards (tackle by D.J. Williams and Ian Gold),-0.060,-0.730
1,10:26,2,11,CLE 16,0,0,Reuben Droughns right guard for 3 yards (tackle by D.J. Williams),-0.730,-1.000
1,9:44,3,8,CLE 19,0,0,Charlie Frye pass complete short middle to Joe Jurevicius for 15 yards (tackle by Ian Gold),-1.000,1.200
1,9:05,1,10,CLE 34,0,0,Charlie Frye pass complete short left to Kellen Winslow for 11 yards (tackle by Ian Gold and Darrent Williams),1.200,1.930
1,8:28,1,10,CLE 45,0,0,Reuben Droughns left guard for 7 yards (tackle by Ian Gold),1.930,2.330
1,7:50,2,3,DEN 48,0,0,Charlie Frye pass complete short left to Braylon Edwards for 2 yards (tackle by Darrent Williams),2.330,1.880
1,7:08,3,1,DEN 46,0,0,Reuben Droughns right guard for no gain (tackle by Ian Gold and D.J. Williams),1.880,0.200
1,6:25,,,,0,0,Timeout #1 by Cleveland Browns,0.000,0.200
1,6:25,4,1,DEN 46,0,0,Charlie Frye sacked by Michael Myers for -1 yards,0.200,-2.130
1,6:17,1,10,DEN 48,0,0,Jake Plummer pass complete short right to Javon Walker for 12 yards (tackle by Daven Holly),2.130,2.920
1,5:42,1,10,CLE 40,0,0,Jake Plummer pass incomplete short right intended for Stephen Alexander (defended by Sean Jones),2.920,2.370
1,5:38,2,10,CLE 40,0,0,Tatum Bell right tackle for 5 yards (tackle by Kamerion Wimbley),2.370,2.340
1,4:59,3,5,CLE 35,0,0,Jake Plummer pass incomplete deep left intended for David Kircus is intercepted by Gary Baxter at CLE-15 and returned for 10 yards,2.340,-0.610
1,4:49,1,10,CLE 25,0,0,Reuben Droughns left guard for 4 yards (tackle by Ebenezer Ekuban and Michael Myers),0.610,0.600
1,4:08,2,6,CLE 29,0,0,Charlie Frye pass complete short left to Joe Jurevicius for 14 yards (tackle by Al Wilson),0.600,1.800
1,3:40,1,10,CLE 43,0,0,Charlie Frye pass incomplete deep left intended for Braylon Edwards,1.800,1.250
1,3:32,2,10,CLE 43,0,0,Charlie Frye pass incomplete deep right intended for Braylon Edwards,1.250,0.560
1,3:27,3,10,CLE 43,0,0,Charlie Frye pass complete short left to Steve Heiden for 5 yards (tackle by Darrent Williams),0.560,-0.190
1,2:44,4,5,CLE 48,0,0,Dave Zastudil punts 50 yards,-0.190,0.380
1,2:34,1,10,DEN 2,0,0,Jake Plummer pass complete deep left to Rod Smith for 19 yards (tackle by Gary Baxter),-0.380,0.340
1,1:56,1,10,DEN 21,0,0,Tatum Bell right tackle for 7 yards (tackle by D'Qwell Jackson),0.340,0.750
1,1:12,2,3,DEN 28,0,0,Jake Plummer pass complete deep left to Javon Walker for 38 yards (tackle by Sean Jones),0.750,3.310
1,0:27,1,10,CLE 34,0,0,Jake Plummer pass incomplete deep left intended for Nate Jackson,3.310,2.770
1,0:21,2,10,CLE 34,0,0,Tatum Bell left guard for 6 yards (tackle by Simon Fraser),2.770,2.870
Quarter,Time,Down,ToGo,Location,DEN,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,4,CLE 28,0,0,Jake Plummer pass complete short right to Javon Walker for 8 yards (tackle by Daven Holly),2.870,4.240
2,14:25,1,10,CLE 20,0,0,Tatum Bell right tackle for 6 yards (tackle by Daven Holly),4.240,4.640
2,13:52,2,4,CLE 14,0,0,Tatum Bell left guard for 1 yard (tackle by D'Qwell Jackson and Orpheus Roye),4.640,4.100
2,13:12,3,3,CLE 13,0,0,Jake Plummer pass incomplete short left intended for David Kircus,4.100,2.670
2,13:12,4,3,CLE 13,3,0,Jason Elam 32 yard field goal good,2.670,3.000
2,,,,DEN 30,3,0,"Paul Ernster kicks off 65 yards, returned by Josh Cribbs for 44 yards (tackle by Brandon Marshall)",0.000,2.190
2,12:53,1,10,CLE 49,3,0,Charlie Frye pass complete short right to Steve Heiden for 5 yards (tackle by Champ Bailey),2.190,2.320
2,12:18,2,5,DEN 46,3,0,Reuben Droughns left guard for 4 yards (tackle by D.J. Williams),2.320,2.150
2,11:37,3,1,DEN 42,3,0,Charlie Frye pass incomplete short left intended for Brian Russell,2.150,0.460
2,11:29,4,1,DEN 42,3,0,"Dave Zastudil punts 27 yards, fair catch by Darrent Williams",0.460,0.220
2,11:21,1,10,DEN 15,3,0,Jake Plummer pass complete short left to Javon Walker for 4 yards (tackle by Gary Baxter),-0.220,-0.110
2,10:44,2,6,DEN 19,3,0,Jake Plummer sacked by Alvin McKinley for -9 yards,-0.110,-2.010
2,10:12,3,15,DEN 10,3,0,Jake Plummer pass incomplete deep right intended for Javon Walker,-2.010,-2.490
2,10:05,4,15,DEN 10,3,0,Paul Ernster punts 57 yards,-2.490,-1.140
2,9:51,1,10,CLE 33,3,0,Charlie Frye pass complete short middle to Reuben Droughns for 13 yards (tackle by Champ Bailey),1.140,1.990
2,9:08,1,10,CLE 46,3,0,Reuben Droughns right guard for no gain (tackle by D.J. Williams),1.990,1.450
2,8:28,2,10,CLE 46,3,0,Reuben Droughns left guard for 5 yards (tackle by Ian Gold),1.450,1.420
2,7:45,3,5,DEN 49,3,0,Charlie Frye sacked by Elvis Dumervil for -3 yards,1.420,-0.190
2,6:58,4,8,CLE 48,3,0,Dave Zastudil punts 38 yards,-0.190,0.280
2,6:50,1,10,DEN 14,3,0,Jake Plummer pass incomplete short left intended for Rod Smith,-0.280,-0.750
2,6:45,2,10,DEN 14,3,0,Jake Plummer pass complete short left to Tatum Bell for 3 yards (tackle by Kamerion Wimbley),-0.750,-1.040
2,6:17,3,7,DEN 17,3,0,Jake Plummer pass complete short right to Rod Smith for 19 yards (tackle by Gary Baxter),-1.040,1.330
2,5:36,1,10,DEN 36,3,0,Tatum Bell right tackle for 5 yards (tackle by Gary Baxter),1.330,1.470
2,4:53,2,5,DEN 41,3,0,Jake Plummer pass complete short left to Tatum Bell for 9 yards (tackle by Andra Davis and Simon Fraser),1.470,2.260
2,4:11,1,10,,3,0,Mike Bell left tackle for 4 yards (tackle by Andra Davis),2.260,2.250
2,3:32,2,6,CLE 46,3,0,Jake Plummer pass complete short left to Rod Smith for 13 yards (tackle by Brian Russell),2.250,3.380
2,2:49,,,,3,0,Timeout #1 by Denver Broncos,0.000,3.380
2,2:49,1,10,CLE 33,3,0,Jake Plummer pass complete short right to Javon Walker for 11 yards (tackle by Daven Holly),3.380,4.110
2,2:26,1,10,CLE 22,3,0,Jake Plummer pass incomplete short right intended for Rod Smith,4.110,3.560
2,2:21,2,10,CLE 22,3,0,Jake Plummer pass incomplete deep right intended for Rod Smith,3.560,2.870
2,2:13,3,10,CLE 22,3,0,Jake Plummer pass complete deep middle to Brandon Marshall for 13 yards (tackle by Gary Baxter),2.870,5.140
2,1:59,1,9,CLE 9,9,0,"Tatum Bell right tackle for 9 yards, touchdown",5.140,7.000
2,,,,CLE 2,10,0,Jason Elam kicks extra point good,0.000,0.000
2,,,,DEN 30,10,0,"Paul Ernster kicks off 70 yards, touchback",0.000,0.280
2,1:54,1,10,CLE 20,10,0,Charlie Frye pass complete short left to Joe Jurevicius for 5 yards (tackle by Darrent Williams),0.280,0.410
2,1:31,2,5,CLE 25,10,0,Charlie Frye pass complete short middle to Reuben Droughns for 5 yards (tackle by Al Wilson),0.410,0.940
2,1:13,1,10,CLE 30,10,0,"Reuben Droughns left guard for -2 yards (tackle by Al Wilson). Reuben Droughns fumbles (forced by Al Wilson), recovered by Elvis Dumervil at CLE-28 (tackle by Kevin Shaffer). Penalty on Karl Paymah: Unsportsmanlike Conduct, 15 yards",0.940,-2.720
2,1:02,1,10,CLE 43,10,0,Tatum Bell right guard for 2 yards (tackle by Kamerion Wimbley),2.720,2.450
2,0:56,2,8,CLE 41,10,0,Jake Plummer pass incomplete deep left intended for Javon Walker,2.450,1.750
2,0:50,,,,10,0,Timeout #2 by Cleveland Browns,0.000,1.750
2,0:50,3,8,CLE 41,10,0,Jake Plummer sacked by Orpheus Roye for -3 yards,1.750,0.330
2,0:04,,,,10,0,Timeout #2 by Denver Broncos,0.000,0.000
2,0:04,,,,10,0,Timeout #3 by Cleveland Browns,0.000,0.330
2,0:04,4,11,CLE 44,10,0,Tatum Bell left tackle for 17 yards (tackle by Brodney Pool). Penalty on Cecil Sapp: Offensive Holding (Declined),0.330,1.530
Quarter,Time,Down,ToGo,Location,DEN,CLE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DEN 30,10,0,"Paul Ernster kicks off 69 yards, returned by Josh Cribbs for 25 yards (tackle by Domonique Foxworth)",0.000,0.670
3,14:55,1,10,CLE 26,10,0,Charlie Frye pass incomplete short right intended for Terrelle Smith,0.670,0.130
