Quarter,Time,Tm,Detail,DEN,CLE
2.0,13:01,Broncos,Jason Elam 32 yard field goal,3,0
,1:54,Broncos,Tatum Bell 9 yard rush (Jason Elam kick),10,0
3.0,9:13,Broncos,Brandon Marshall 9 yard pass from Jake Plummer (Jason Elam kick),17,0
4.0,11:43,Browns,Joe Jurevicius 6 yard pass from Charlie Frye (Phil Dawson kick),17,7
