Unnamed: 0,DEN,CLE
First Downs,22,10
Rush-Yds-TDs,37-150-1,13-34-0
Cmp-Att-Yd-TD-INT,20-41-209-1-2,19-33-149-1-1
Sacked-Yards,2-12,5-18
Net Pass Yards,197,131
Total Yards,347,165
Fumbles-Lost,0-0,3-2
Turnovers,2,3
Penalties-Yards,3-30,2-10
Third Down Conv.,9-20,1-11
Fourth Down Conv.,1-1,0-3
Time of Possession,37:15,22:45
