Unnamed: 0,CAR,SDG
First Downs,20,17
Rush-Yds-TDs,29-142-0,27-105-0
Cmp-Att-Yd-TD-INT,23-41-247-1-0,17-27-217-3-0
Sacked-Yards,1-1,1-6
Net Pass Yards,246,211
Total Yards,388,316
Fumbles-Lost,1-1,1-1
Turnovers,1,1
Penalties-Yards,6-29,2-12
Third Down Conv.,5-15,4-12
Fourth Down Conv.,1-2,1-1
Time of Possession,32:02,27:58
