Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Marcell Ateman,OAK,10,3,16,0,1,12,4.0,4,1.3,10.0,0,,2,20.0,0,39.6
Doug Martin,OAK,4,3,21,0,2,8,2.7,13,4.3,0.5,0,,0,0.0,0,86.5
Lee Smith,OAK,2,2,39,0,1,6,3.0,33,16.5,3.0,0,,0,0.0,0,118.7
Seth Roberts,OAK,3,2,54,0,2,45,22.5,9,4.5,20.0,0,,0,0.0,0,109.7
Jared Cook,OAK,5,2,32,1,2,16,8.0,16,8.0,6.0,0,,1,20.0,0,101.7
Jalen Richard,OAK,4,2,15,0,1,2,1.0,13,6.5,1.8,1,2.0,0,0.0,0,59.4
DeAndre Washington,OAK,1,1,9,0,0,2,2.0,7,7.0,2.0,1,1.0,0,0.0,0,104.2
Keon Hatcher,OAK,2,1,8,0,,0,0.0,8,8.0,7.0,0,,0,0.0,0,60.4
Johnny Holton,OAK,1,0,0,0,,0,,0,,45.0,0,,0,0.0,0,39.6
Jordy Nelson,OAK,1,0,0,0,,0,,0,,32.0,0,,0,0.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Hayden Hurst,BAL,4,3,25,0,3,19,6.3,6,2.0,6.5,0,,0,0.0,0,90.6
Ty Montgomery,BAL,3,3,13,0,0,-4,-1.3,17,5.7,-1.3,0,,0,0.0,0,84.7
Michael Crabtree,BAL,6,3,21,1,2,20,6.7,1,0.3,12.0,0,,0,0.0,1,58.3
Nick Boyle,BAL,2,2,19,0,2,9,4.5,10,5.0,4.5,0,,0,0.0,0,106.2
Chris Moore,BAL,1,1,1,0,,-4,-4.0,5,5.0,-4.0,0,,0,0.0,0,79.2
John Brown,BAL,7,1,25,0,1,15,15.0,10,10.0,10.0,0,,1,14.3,1,2.4
Mark Andrews,BAL,1,1,74,0,1,36,36.0,38,38.0,36.0,0,,0,0.0,0,118.7
