Unnamed: 0,DEN,IND
First Downs,23,15
Rush-Yds-TDs,46-211-1,22-70-1
Cmp-Att-Yd-TD-INT,17-26-261-2-1,17-30-158-0-0
Sacked-Yards,2-10,1-0
Net Pass Yards,251,158
Total Yards,462,228
Fumbles-Lost,2-0,1-0
Turnovers,1,0
Penalties-Yards,12-80,4-39
Third Down Conv.,7-15,6-13
Fourth Down Conv.,1-3,0-1
Time of Possession,36:51,23:09
