Quarter,Time,Down,ToGo,Location,DEN,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss and deferred, Broncos to receive the opening kickoff.",,
1,15:00,,,IND 35,0,0,"Rigoberto Sanchez kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,DEN 25,0,0,Trevor Siemian pass incomplete short right intended for Emmanuel Sanders,0.610,0.060
1,14:54,2,10,DEN 25,0,0,Trevor Siemian pass complete short left to Demaryius Thomas for 6 yards (tackle by Quincy Wilson),0.060,0.170
1,14:17,3,4,DEN 31,0,0,Trevor Siemian pass complete short right to Emmanuel Sanders for 7 yards (tackle by Quincy Wilson),0.170,1.470
1,13:41,1,10,DEN 38,0,0,C.J. Anderson left tackle for 2 yards (tackle by Clayton Geathers and Jonathan Bostic),1.470,1.190
1,13:05,2,8,DEN 40,0,0,C.J. Anderson right guard for 14 yards (tackle by Barkevious Mingo),1.190,2.520
1,12:29,1,10,IND 46,0,0,C.J. Anderson right tackle for 1 yard (tackle by Margus Hunt),2.520,2.110
1,11:49,2,9,IND 45,0,0,Trevor Siemian pass incomplete deep middle intended for Demaryius Thomas is intercepted by Kenny Moore at IND-25 and returned for 25 yards,2.110,-2.260
1,11:34,1,10,,0,0,Frank Gore middle for 3 yards (tackle by Todd Davis),2.260,2.120
1,11:02,2,7,DEN 47,0,0,Jacoby Brissett pass incomplete short right intended for Brandon Williams (defended by Von Miller),2.120,1.420
1,10:57,3,7,DEN 47,0,0,Jacoby Brissett pass complete short left to Frank Gore for 22 yards (tackle by Darian Stewart),1.420,3.910
1,10:11,1,10,DEN 25,0,0,Jacoby Brissett pass complete short right to T.Y. Hilton for 10 yards (tackle by Chris Harris),3.910,4.580
1,9:36,1,10,DEN 15,0,0,Marlon Mack middle for 1 yard (tackle by Adam Gotsis and Shelby Harris),4.580,4.110
1,8:55,2,9,DEN 14,0,0,Jacoby Brissett pass complete short right to Jack Doyle for 7 yards (tackle by Brandon Marshall),4.110,0.000
1,8:07,,,,,,Timeout #1 by Indianapolis Colts,0.000,-4.680
1,8:07,3,2,DEN 7,0,6,"Jacoby Brissett middle for 7 yards, touchdown",4.680,7.000
1,8:02,,,DEN 15,0,7,Adam Vinatieri kicks extra point good,0.000,0.000
1,8:02,,,IND 35,0,7,"Rigoberto Sanchez kicks off 65 yards, touchback",0.000,-0.610
1,8:02,1,10,DEN 25,0,7,C.J. Anderson right tackle for no gain (tackle by Al Woods and Antonio Morrison),0.610,0.060
1,7:30,2,10,DEN 25,0,7,Trevor Siemian pass complete short right to Emmanuel Sanders for 5 yards (tackle by T.J. Green),0.060,0.040
1,7:01,3,5,DEN 30,0,7,"Penalty on Emmanuel Sanders: False Start, 5 yards (no play)",0.040,-0.620
1,6:43,3,10,DEN 25,0,7,Trevor Siemian pass complete deep left to Emmanuel Sanders for 26 yards,-0.620,0.000
1,5:57,,,,,,Timeout #1 by Denver Broncos,0.000,-2.320
1,5:57,1,10,IND 49,0,7,C.J. Anderson right end for 8 yards (tackle by Margus Hunt),2.320,2.860
1,5:20,2,2,IND 41,0,7,C.J. Anderson right end for 8 yards (tackle by Quincy Wilson),2.860,3.380
1,4:48,1,10,IND 33,0,7,Trevor Siemian sacked by Johnathan Hankins for 0 yards,3.380,2.840
1,4:12,2,10,IND 33,0,7,Devontae Booker right end for 3 yards (tackle by Jonathan Bostic),2.840,2.540
1,3:33,3,7,IND 30,0,7,Trevor Siemian pass complete short middle to Demaryius Thomas for 23 yards (tackle by Quincy Wilson and Matthias Farley),2.540,5.600
1,2:56,1,7,IND 7,0,7,Trevor Siemian pass incomplete,5.600,4.760
1,2:49,2,7,IND 7,0,7,Trevor Siemian pass incomplete short left intended for Demaryius Thomas,4.760,3.810
1,2:45,3,7,IND 7,0,7,Trevor Siemian sacked by Barkevious Mingo for -10 yards,3.810,2.310
1,1:53,4,17,IND 17,0,7,"Penalty on Riley Dixon: Delay of Game, 5 yards (no play)",2.310,1.990
1,1:35,4,22,IND 22,0,7,Brandon McManus 40 yard field goal no good,1.990,-0.940
1,1:30,1,10,IND 30,0,7,Chester Rogers for 7 yards (tackle by Todd Davis),0.940,1.340
1,1:00,2,3,IND 37,0,7,"Frank Gore middle for 6 yards (tackle by Adam Gotsis). Penalty on Domata Peko: Defensive Holding, 5 yards",1.340,2.130
1,0:33,1,10,IND 48,0,7,Jacoby Brissett pass incomplete deep left intended for T.Y. Hilton,2.130,1.580
1,0:28,2,10,IND 48,0,7,"Jacoby Brissett pass complete short right to T.Y. Hilton for 13 yards (tackle by Chris Harris). T.Y. Hilton fumbles (forced by Chris Harris), ball out of bounds at DEN-39",1.580,2.980
1,0:06,1,10,DEN 39,0,7,Frank Gore middle for -1 yards (tackle by Adam Gotsis),2.980,2.300
Quarter,Time,Down,ToGo,Location,DEN,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,11,DEN 40,0,7,Frank Gore left tackle for 2 yards (tackle by Domata Peko and Adam Gotsis),2.300,1.880
2,14:17,3,9,DEN 38,0,7,Jacoby Brissett pass incomplete,1.880,0.720
2,14:11,4,9,DEN 38,0,7,"Rigoberto Sanchez punts 27 yards, fair catch by Jordan Taylor. Penalty on Christopher Milton: Fair Catch Interference, 15 yards",0.720,-0.670
2,14:01,1,10,DEN 26,0,7,C.J. Anderson middle for 1 yard (tackle by Grover Stewart and T.J. Green),0.670,0.270
2,13:19,2,9,DEN 27,0,7,Brock Osweiler pass incomplete deep right intended for Cody Latimer,0.270,-0.430
2,13:12,3,9,DEN 27,0,7,Brock Osweiler pass complete short left to Demaryius Thomas for 7 yards (tackle by Quincy Wilson),-0.430,-1.110
2,12:45,4,2,DEN 34,0,7,"Riley Dixon punts 52 yards, fair catch by Chester Rogers",-1.110,0.280
2,12:37,1,10,IND 14,0,7,Frank Gore middle for 9 yards (tackle by Darian Stewart),-0.280,0.550
2,12:01,2,1,IND 23,0,7,Marlon Mack left tackle for 6 yards (tackle by Todd Davis),0.550,0.870
2,11:22,1,10,IND 29,0,7,Jacoby Brissett pass complete short middle to Ross Travis for 20 yards (tackle by Will Parks),0.870,2.190
2,10:42,1,10,IND 49,0,7,"Jacoby Brissett pass incomplete deep right intended for Ross Travis (defended by Darian Stewart). Penalty on Aqib Talib: Defensive Holding, 5 yards (no play)",2.190,2.520
2,10:36,1,10,DEN 46,0,7,Jacoby Brissett middle for 7 yards (tackle by Adam Gotsis),2.520,2.920
2,10:01,2,3,DEN 39,0,7,Marlon Mack middle for 2 yards (tackle by Shelby Harris and Von Miller),2.920,2.480
2,9:19,3,1,DEN 37,0,7,Marlon Mack middle for 3 yards (tackle by Will Parks),2.480,3.310
2,8:36,1,10,DEN 34,0,7,Jacoby Brissett pass complete short right to T.Y. Hilton for 4 yards (tackle by Aqib Talib),3.310,3.310
2,7:58,2,6,DEN 30,0,7,Marlon Mack middle for no gain (tackle by Brandon Marshall),3.310,2.610
2,7:17,3,6,DEN 30,0,7,Jacoby Brissett right end for 3 yards (tackle by Shane Ray),2.610,1.770
2,6:38,4,3,DEN 27,0,10,Adam Vinatieri 45 yard field goal good,1.770,3.000
2,6:33,,,IND 35,0,10,"Rigoberto Sanchez kicks off 65 yards, touchback",0.000,-0.610
2,6:33,1,10,DEN 25,0,10,Brock Osweiler pass complete deep left to Demaryius Thomas for 22 yards (tackle by Quincy Wilson). Penalty on Quincy Wilson: Defensive Holding (Declined),0.610,2.060
2,6:17,1,10,DEN 47,0,10,C.J. Anderson middle for 12 yards (tackle by Darius Butler),2.060,2.850
2,5:50,1,10,IND 41,0,10,Brock Osweiler left end for -2 yards (tackle by Jabaal Sheard),2.850,2.040
2,5:18,2,12,IND 43,0,10,Brock Osweiler pass complete short left to Demaryius Thomas for 11 yards (tackle by Quincy Wilson),2.040,2.810
2,4:42,3,1,IND 32,0,10,Andy Janovich middle for -1 yards (tackle by Johnathan Hankins and Al Woods),2.810,1.200
2,4:02,4,2,IND 33,0,10,Brock Osweiler pass complete short right to Emmanuel Sanders for 3 yards (tackle by D.J. White),1.200,3.580
2,3:20,1,10,IND 30,0,10,"Brock Osweiler pass complete short left to Devontae Booker for 30 yards. Penalty on Garett Bolles: Offensive Holding, 10 yards (no play)",3.580,2.920
2,3:10,1,20,IND 40,0,10,Brock Osweiler pass complete short right to Emmanuel Sanders for 4 yards (tackle by Matthias Farley),2.920,2.220
2,2:30,2,16,IND 36,0,10,Brock Osweiler pass complete short left to Emmanuel Sanders for 17 yards,2.220,4.310
2,2:00,1,10,IND 19,0,10,C.J. Anderson middle for 1 yard (tackle by Johnathan Hankins),4.310,3.880
2,1:30,2,9,IND 18,0,10,Brock Osweiler pass incomplete short left intended for Virgil Green,3.880,3.140
2,1:26,3,9,IND 18,6,10,"Brock Osweiler middle for 18 yards, touchdown",3.140,7.000
2,1:19,,,IND 15,7,10,Brandon McManus kicks extra point good,0.000,0.000
2,1:19,,,DEN 35,7,10,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.610
2,1:19,1,10,IND 25,7,10,Jacoby Brissett pass incomplete short right intended for Marlon Mack,0.610,0.060
2,1:14,2,10,IND 25,7,10,Jacoby Brissett pass complete short left to T.Y. Hilton for 6 yards (tackle by Darian Stewart),0.060,0.000
2,1:08,,,,,,Timeout #2 by Denver Broncos,0.000,-0.170
