Quarter,Time,Tm,Detail,GNB,HOU
1.0,9:21,Packers,Davante Adams 3 yard pass from Aaron Rodgers (Mason Crosby kick),7,0
2.0,13:33,Packers,Jace Sternberger 3 yard pass from Aaron Rodgers (Mason Crosby kick),14,0
,0:14,Packers,Malik Taylor 1 yard pass from Aaron Rodgers (Mason Crosby kick),21,0
3.0,8:55,Texans,David Johnson 3 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),21,7
,4:44,Packers,Davante Adams 45 yard pass from Aaron Rodgers (Mason Crosby kick),28,7
4.0,14:12,Texans,Ka'imi Fairbairn 38 yard field goal,28,10
,9:56,Texans,Ka'imi Fairbairn 29 yard field goal,28,13
,3:40,Packers,Jamaal Williams 1 yard rush (Mason Crosby kick),35,13
,1:33,Texans,Will Fuller 6 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),35,20
