Quarter,Time,Down,ToGo,Location,GNB,HOU,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Texans won the coin toss and deferred, Packers to receive the opening kickoff.",,
1,15:00,,,HOU 35,0,0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,GNB 25,0,0,Jamaal Williams left guard for 3 yards (tackle by P.J. Hall and Whitney Mercilus),0.610,0.470
1,14:22,2,7,GNB 28,0,0,Jamaal Williams left guard for 5 yards (tackle by J.J. Watt),0.470,0.430
1,13:39,3,2,GNB 33,0,0,"Aaron Rodgers sacked by Whitney Mercilus for no gain. Penalty on Eric Murray: Illegal Use of Hands, 5 yards (no play)",0.430,1.470
1,13:18,1,10,GNB 38,0,0,AJ Dillon up the middle for 5 yards (tackle by Tyrell Adams and Zach Cunningham),1.470,1.600
1,12:34,2,5,GNB 43,0,0,"Aaron Rodgers pass complete short middle to Jamaal Williams for 17 yards (tackle by Zach Cunningham). Penalty on Justin Reid: Lowering the Head to Initiate Contact, 15 yards",1.600,3.910
1,12:07,1,10,HOU 25,0,0,Aaron Rodgers pass incomplete short left intended for Marquez Valdes-Scantling,3.910,3.360
1,12:04,2,10,HOU 25,0,0,Aaron Rodgers pass complete short left to Marcedes Lewis for 9 yards (tackle by Tyrell Adams),3.360,4.060
1,11:31,3,1,HOU 16,0,0,Aaron Rodgers pass complete short right to Davante Adams for 8 yards (tackle by Vernon Hargreaves),4.060,5.370
1,10:50,1,8,HOU 8,0,0,Jamaal Williams up the middle for 5 yards (tackle by Zach Cunningham),5.370,5.530
1,10:11,2,3,HOU 3,0,0,Aaron Rodgers pass complete short middle to Davante Adams for no gain (tackle by Zach Cunningham),5.530,4.720
1,9:26,3,3,HOU 3,6,0,"Aaron Rodgers pass complete short right to Davante Adams for 3 yards, touchdown",4.720,7.000
1,9:21,,,HOU 15,7,0,Mason Crosby kicks extra point good,0.000,0.000
1,9:21,,,GNB 35,7,0,"Mason Crosby kicks off 65 yards, touchback.",0.000,0.610
1,9:21,1,10,HOU 25,7,0,Deshaun Watson pass complete short left to Will Fuller for 5 yards (tackle by Adrian Amos),0.610,0.740
1,8:53,2,5,HOU 30,7,0,David Johnson right guard for 4 yards (tackle by Krys Barnes and Will Redmond),0.740,0.560
1,8:10,3,1,HOU 34,7,0,Duke Johnson left end for -1 yards (tackle by Josh Jackson),0.560,-1.180
1,7:24,4,2,HOU 33,7,0,"Bryan Anger punts 67 yards, touchback.",-1.180,-0.280
1,7:15,1,10,GNB 20,7,0,Aaron Rodgers pass incomplete deep left intended for Marcedes Lewis,0.280,-0.270
1,7:10,2,10,GNB 20,7,0,AJ Dillon right guard for 2 yards (tackle by Carlos Watkins and Zach Cunningham),-0.270,-0.690
1,6:30,3,8,GNB 22,7,0,"Penalty on Robert Tonyan: False Start, 5 yards (no play)",-0.690,-1.510
1,6:05,3,13,GNB 17,7,0,Aaron Rodgers pass incomplete short right intended for Darrius Shepherd,-1.510,-2.320
1,6:00,4,13,GNB 17,7,0,"JK Scott punts 62 yards, returned by DeAndre Carter for 5 yards (tackle by John Lovett and Raven Greene). Penalty on Keion Crossen: Offensive Holding, 10 yards",-2.320,0.140
1,5:48,1,10,HOU 16,7,0,David Johnson left guard for 3 yards (tackle by Dean Lowry and Za'Darius Smith),-0.140,-0.180
1,5:15,2,7,HOU 19,7,0,Deshaun Watson pass complete short left to Randall Cobb for 6 yards (tackle by Raven Greene and Krys Barnes),-0.180,-0.200
1,4:34,3,1,HOU 25,7,0,Deshaun Watson pass complete short middle to Kenny Stills for 16 yards (tackle by Krys Barnes and Adrian Amos),-0.200,1.660
1,4:05,1,10,HOU 41,7,0,Deshaun Watson pass incomplete short middle intended for Will Fuller,1.660,1.120
1,4:01,2,10,HOU 41,7,0,David Johnson left tackle for 3 yards (tackle by Raven Greene),1.120,0.830
1,3:24,3,7,HOU 44,7,0,Deshaun Watson pass incomplete short left intended for Kenny Stills (defended by Raven Greene),0.830,-0.460
1,3:18,4,7,HOU 44,7,0,"Bryan Anger punts 44 yards, fair catch by Darrius Shepherd at GB-12",-0.460,0.350
1,3:10,1,10,GNB 12,7,0,Jamaal Williams right guard for 2 yards (tackle by Zach Cunningham and P.J. Hall),-0.350,-0.610
1,2:32,2,8,GNB 14,7,0,Aaron Rodgers pass complete short middle to Davante Adams for 8 yards (tackle by Eric Murray),-0.610,0.410
1,2:01,1,10,GNB 22,7,0,AJ Dillon left guard for no gain (tackle by Tyrell Adams),0.410,-0.130
1,1:19,2,10,GNB 22,7,0,Aaron Rodgers pass complete short right to Robert Tonyan for 1 yard (tackle by Eric Murray). Penalty on Davante Adams: Illegal Shift (Declined),-0.130,-0.690
1,0:50,3,9,GNB 23,7,0,Aaron Rodgers pass complete deep left to Davante Adams for 28 yards (tackle by Vernon Hargreaves),-0.690,2.320
1,0:07,1,10,HOU 49,7,0,Jamaal Williams right tackle for 8 yards (tackle by Lonnie Johnson and Tyrell Adams),2.320,2.860
Quarter,Time,Down,ToGo,Location,GNB,HOU,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,2,HOU 41,7,0,Aaron Rodgers pass complete deep left to Davante Adams for 36 yards (tackle by Phillip Gaines),2.860,6.060
2,14:23,1,5,HOU 5,7,0,Jamaal Williams up the middle for 2 yards (tackle by Tyrell Adams and J.J. Watt),6.060,5.530
2,13:38,2,3,HOU 3,13,0,"Aaron Rodgers pass complete short right to Jace Sternberger for 3 yards, touchdown",5.530,7.000
2,13:33,,,HOU 15,14,0,Mason Crosby kicks extra point good,0.000,0.000
2,13:33,,,GNB 35,14,0,"Mason Crosby kicks off 65 yards, touchback.",0.000,0.610
2,13:33,1,10,HOU 25,14,0,David Johnson left guard for 3 yards (tackle by Krys Barnes),0.610,0.470
2,13:03,2,7,HOU 28,14,0,Deshaun Watson pass complete short middle to Brandin Cooks for 5 yards (tackle by Raven Greene),0.470,0.430
2,12:24,3,2,HOU 33,14,0,Deshaun Watson up the middle for 4 yards (tackle by Krys Barnes),0.430,1.400
2,11:51,1,10,HOU 37,14,0,David Johnson right guard for 1 yard (tackle by Preston Smith and Montravius Adams),1.400,0.990
2,11:19,2,9,HOU 38,14,0,Deshaun Watson sacked by Za'Darius Smith for -6 yards,0.990,-0.490
2,10:33,3,15,HOU 32,14,0,Deshaun Watson pass complete short middle to Brandin Cooks for 8 yards (tackle by Krys Barnes and Raven Greene),-0.490,-0.720
2,9:50,4,7,HOU 40,14,0,"Bryan Anger punts 49 yards, returned by Darrius Shepherd for 6 yards (tackle by Kyle Emanuel and Tyrell Adams)",-0.720,0.060
2,9:36,1,10,GNB 17,14,0,Aaron Rodgers pass complete deep left to Robert Tonyan for 31 yards (tackle by Vernon Hargreaves),-0.060,2.130
2,8:52,1,10,GNB 48,14,0,Jamaal Williams up the middle for 4 yards (tackle by Tyrell Adams and Brandon Dunn),2.130,2.120
2,8:11,2,6,HOU 48,14,0,AJ Dillon right guard for 4 yards (tackle by Carlos Watkins and Zach Cunningham),2.120,1.950
2,7:29,3,2,HOU 44,14,0,Aaron Rodgers pass incomplete short left intended for Marquez Valdes-Scantling,1.950,0.330
2,7:22,4,2,HOU 44,14,0,"Penalty on GNB: Delay of Game, 5 yards (no play)",0.330,0.000
2,7:22,4,7,HOU 49,14,0,JK Scott punts 47 yards,0.000,0.380
2,7:12,1,10,HOU 2,14,0,David Johnson left guard for no gain (tackle by Dean Lowry),-0.380,-0.780
2,6:36,2,10,HOU 2,14,0,Deshaun Watson pass complete short middle to Randall Cobb for 12 yards (tackle by Will Redmond),-0.780,-0.280
2,5:55,1,10,HOU 14,14,0,Deshaun Watson pass complete short middle to Randall Cobb for 8 yards (tackle by Raven Greene),-0.280,0.420
2,5:30,2,2,HOU 22,14,0,Deshaun Watson pass complete deep left to Will Fuller for 24 yards (tackle by Adrian Amos),0.420,1.990
