Quarter,Time,Tm,Detail,CHI,DET
2.0,9:03,Lions,LeGarrette Blount 4 yard rush (Matt Prater kick),0,7
,3:58,Bears,Cody Parkey 40 yard field goal,3,7
,0:40,Bears,Taquan Mizzell 10 yard pass from Chase Daniel (pass failed),9,7
3.0,1:35,Lions,LeGarrette Blount 4 yard rush (pass failed),9,13
4.0,13:40,Bears,Tarik Cohen 14 yard pass from Chase Daniel (Cody Parkey kick),16,13
,7:44,Lions,Matt Prater 20 yard field goal,16,16
,6:00,Bears,Eddie Jackson 41 yard interception return (Cody Parkey kick),23,16
