Unnamed: 0,CHI,DET
First Downs,19,17
Rush-Yds-TDs,15-38-0,24-111-2
Cmp-Att-Yd-TD-INT,28-38-238-2-0,28-38-236-0-2
Sacked-Yards,4-12,2-14
Net Pass Yards,226,222
Total Yards,264,333
Fumbles-Lost,1-1,0-0
Turnovers,1,2
Penalties-Yards,3-20,5-54
Third Down Conv.,3-10,5-14
Fourth Down Conv.,0-0,1-2
Time of Possession,27:14,32:46
