Quarter,Time,Down,ToGo,Location,BUF,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bills won the coin toss and deferred, Giants to receive the opening kickoff.",,
1,15:00,,,BUF 35,0,0,"Stephen Hauschka kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,NYG 25,0,0,Saquon Barkley left guard for 6 yards (tackle by Jordan Poyer and Ed Oliver),0.610,0.870
1,14:25,2,4,NYG 31,0,0,Bennie Fowler right end for 20 yards (tackle by Siran Neal),0.870,2.320
1,13:52,1,10,BUF 49,0,0,Saquon Barkley left end for 14 yards (tackle by Levi Wallace),2.320,3.250
1,13:15,1,10,BUF 35,0,0,Saquon Barkley up the middle for 8 yards (tackle by Dean Marlowe),3.250,3.780
1,12:45,2,2,BUF 27,0,6,"Saquon Barkley right end for 27 yards, touchdown",3.780,7.000
1,12:36,,,BUF 15,0,7,Aldrick Rosas kicks extra point good,0.000,0.000
1,12:36,,,NYG 35,0,7,"Aldrick Rosas kicks off 65 yards, touchback.",0.000,0.610
1,12:36,1,10,BUF 25,0,7,Frank Gore right guard for 4 yards (tackle by Dalvin Tomlinson),0.610,0.600
1,11:49,2,6,BUF 29,0,7,Josh Allen sacked by and Lorenzo Carter for -7 yards,0.600,-1.020
1,11:03,3,13,BUF 22,0,7,Josh Allen pass complete short right to Frank Gore for 6 yards (tackle by Alec Ogletree),-1.020,-1.500
1,10:30,4,7,BUF 28,0,7,Corey Bojorquez punts 42 yards out of bounds,-1.500,-0.940
1,10:22,1,10,NYG 30,0,7,Saquon Barkley left guard for 5 yards (tackle by Matt Milano and Tremaine Edmunds),0.940,1.070
1,9:50,2,5,NYG 35,0,7,Eli Manning pass incomplete short middle intended for Evan Engram,1.070,0.370
1,9:45,3,5,NYG 35,0,7,"Penalty on T.J. Jones: False Start, 5 yards (no play)",0.370,-0.300
1,9:45,3,10,NYG 30,0,7,Eli Manning pass incomplete short left intended for Cody Latimer,-0.300,-1.370
1,9:40,4,10,NYG 30,0,7,"Riley Dixon punts 45 yards, returned by Micah Hyde for no gain (tackle by Cody Core)",-1.370,-0.610
1,9:29,1,10,BUF 25,0,7,Frank Gore left end for 4 yards (tackle by Alec Ogletree),0.610,0.600
1,9:02,2,6,BUF 29,0,7,Josh Allen pass complete short middle to Lee Smith for 8 yards (tackle by Jabrill Peppers),0.600,1.400
1,8:19,1,10,BUF 37,0,7,Josh Allen right end for 5 yards (tackle by Lorenzo Carter),1.400,1.530
1,7:45,2,5,BUF 42,0,7,Frank Gore left end for 1 yard (tackle by Ryan Connelly),1.530,0.960
1,7:03,3,4,BUF 43,0,7,Josh Allen pass complete short middle to Cole Beasley for 9 yards (tackle by Antoine Bethea),0.960,2.390
1,6:26,1,10,NYG 48,0,7,Josh Allen pass complete deep left to Isaiah McKenzie for 26 yards (tackle by Deandre Baker),2.390,4.110
1,5:47,1,10,NYG 22,0,7,Josh Allen pass complete short right to Patrick DiMarco for 3 yards (tackle by Janoris Jenkins),4.110,3.970
1,5:13,2,7,NYG 19,0,7,Frank Gore left guard for 8 yards (tackle by Antoine Bethea and Alec Ogletree),3.970,4.840
1,4:33,1,10,NYG 11,0,7,Josh Allen right tackle for 5 yards (tackle by Alec Ogletree),4.840,5.080
1,3:49,2,5,NYG 6,6,7,"Josh Allen right end for 6 yards, touchdown",5.080,7.000
1,3:43,,,NYG 15,7,7,Stephen Hauschka kicks extra point good,0.000,0.000
1,3:43,,,BUF 35,7,7,"Stephen Hauschka kicks off 66 yards, returned by Corey Ballentine for 23 yards (tackle by Lorenzo Alexander)",0.000,0.410
1,3:38,1,10,NYG 22,7,7,Saquon Barkley left tackle for 1 yard (tackle by Harrison Phillips),0.410,0.000
1,2:59,2,9,NYG 23,7,7,Eli Manning pass incomplete short right intended for Saquon Barkley,0.000,-0.690
1,2:55,3,9,NYG 23,7,7,Eli Manning pass incomplete short left intended for Bennie Fowler,-0.690,-1.830
1,2:50,4,9,NYG 23,7,7,"Riley Dixon punts 53 yards, returned by Micah Hyde for 6 yards (tackle by Michael Thomas)",-1.830,-0.940
1,2:39,1,10,BUF 30,7,7,Josh Allen pass complete deep right to Dawson Knox for 18 yards (tackle by Janoris Jenkins),0.940,2.130
1,1:56,1,10,BUF 48,7,7,Josh Allen pass incomplete deep middle intended for John Brown,2.130,1.580
1,1:49,2,10,BUF 48,7,7,Josh Allen pass incomplete short right intended for Robert Foster,1.580,0.890
1,1:39,3,10,BUF 48,7,7,Josh Allen pass complete short middle to John Brown for 14 yards (tackle by Michael Thomas),0.890,3.050
1,0:59,1,10,NYG 38,7,7,Frank Gore right guard for 9 yards (tackle by Jabrill Peppers and Oshane Ximines),3.050,3.720
1,0:20,2,1,NYG 29,7,7,Devin Singletary left guard for no gain (tackle by Dalvin Tomlinson and Grant Haley),3.720,3.010
Quarter,Time,Down,ToGo,Location,BUF,NYG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,NYG 29,7,7,"Penalty on Dion Dawkins: False Start, 4 yards (no play)",3.010,2.480
2,15:00,3,5,NYG 33,7,7,Josh Allen pass complete short middle to John Brown for 7 yards (tackle by Janoris Jenkins),2.480,3.840
2,14:19,1,10,NYG 26,7,7,Josh Allen pass incomplete short right intended for Dawson Knox,3.840,3.300
2,14:15,2,10,NYG 26,7,7,Josh Allen pass incomplete short right intended for Dawson Knox,3.300,2.610
2,14:10,3,10,NYG 26,7,7,Josh Allen pass complete short left to Cole Beasley for 12 yards (tackle by Antoine Bethea),2.610,4.650
2,13:30,1,10,NYG 14,13,7,"Devin Singletary left end for 14 yards, touchdown",4.650,7.000
2,13:24,,,NYG 15,14,7,Stephen Hauschka kicks extra point good,0.000,0.000
2,13:24,,,BUF 35,14,7,"Stephen Hauschka kicks off 65 yards, touchback.",0.000,0.610
2,13:24,1,10,NYG 25,14,7,Eli Manning pass complete short right to Cody Latimer for 14 yards (tackle by Tre'Davious White),0.610,1.530
2,12:55,1,10,NYG 39,14,7,Saquon Barkley right guard for 1 yard (tackle by Tre'Davious White),1.530,1.120
2,12:18,2,9,NYG 40,14,7,Eli Manning pass incomplete deep left intended for Cody Latimer,1.120,0.430
2,12:12,3,9,NYG 40,14,7,Eli Manning pass incomplete short right intended for Saquon Barkley (defended by Lorenzo Alexander),0.430,-0.720
2,12:07,4,9,NYG 40,14,7,Riley Dixon punts 58 yards downed by Cody Core,-0.720,0.380
2,11:56,1,10,BUF 2,14,7,Patrick DiMarco right guard for 1 yard (tackle by Lorenzo Carter),-0.380,-0.710
2,11:18,2,9,BUF 3,14,7,Josh Allen pass complete short left to John Brown for 15 yards (tackle by Janoris Jenkins),-0.710,0.040
2,10:33,1,10,BUF 18,14,7,Josh Allen pass complete short left to Frank Gore for 9 yards (tackle by Jabrill Peppers),0.040,0.820
2,10:03,2,1,BUF 27,14,7,Frank Gore right guard for 4 yards (tackle by R.J. McIntosh and Antoine Bethea),0.820,1.000
2,9:17,1,10,BUF 31,14,7,Josh Allen pass complete short middle to Zay Jones for 14 yards (tackle by Antoine Bethea),1.000,1.930
2,8:32,1,10,BUF 45,14,7,"Josh Allen up the middle for 17 yards (tackle by Antoine Bethea). Penalty on Mitch Morse: Offensive Holding, 10 yards (no play)",1.930,1.270
2,8:08,1,20,BUF 35,14,7,Josh Allen pass complete deep right to Cole Beasley for 51 yards (tackle by Deandre Baker and Jabrill Peppers),1.270,4.650
2,7:36,1,10,NYG 14,20,7,"Josh Allen pass complete short middle to Isaiah McKenzie for 14 yards, touchdown",4.650,7.000
2,7:30,,,NYG 15,21,7,Stephen Hauschka kicks extra point good,0.000,0.000
2,7:30,,,BUF 35,21,7,"Stephen Hauschka kicks off 68 yards, returned by Corey Ballentine for 17 yards (tackle by Siran Neal)",0.000,-0.280
2,7:26,1,10,NYG 14,21,7,Saquon Barkley right end for 1 yard (tackle by Tremaine Edmunds),-0.280,-0.640
2,6:56,2,9,NYG 15,21,7,Eli Manning pass complete short right to Bennie Fowler for 5 yards (tackle by Tre'Davious White),-0.640,-0.680
2,6:20,3,4,NYG 20,21,7,Eli Manning pass complete short right to Evan Engram for 6 yards (tackle by Tre'Davious White),-0.680,0.670
2,5:54,1,10,NYG 26,21,7,Eli Manning pass incomplete short right,0.670,0.130
2,5:47,,,,,,Timeout #1 by Buffalo Bills,,
2,5:47,2,10,NYG 26,21,7,Eli Manning pass complete short left to Cody Core for 9 yards (tackle by Levi Wallace),0.130,0.630
2,5:24,3,1,NYG 35,21,7,Eli Manning up the middle for 2 yards (tackle by Shaq Lawson and Matt Milano),0.630,1.400
2,4:42,1,10,NYG 37,21,7,Saquon Barkley up the middle for 6 yards (tackle by Siran Neal and Tremaine Edmunds),1.400,1.670
2,4:06,2,4,NYG 43,21,7,Eli Manning pass complete short left to Cody Core for 8 yards (tackle by Levi Wallace),1.670,2.320
2,3:47,1,10,BUF 49,21,7,Eli Manning pass incomplete short left intended for Cody Core (defended by Harrison Phillips),2.320,1.780
2,3:42,2,10,BUF 49,21,7,Eli Manning pass complete short left to Saquon Barkley for 19 yards (tackle by Matt Milano). Penalty on Trent Murphy: Defensive Offside (Declined),1.780,3.580
2,3:05,1,10,BUF 30,21,7,Eli Manning pass complete short right to Evan Engram for -2 yards (tackle by Siran Neal),3.580,2.760
2,2:26,2,12,BUF 32,21,7,Eli Manning pass complete short right to Saquon Barkley for 3 yards (tackle by Matt Milano),2.760,2.480
2,2:00,3,9,BUF 29,21,7,Eli Manning pass incomplete deep right intended for Bennie Fowler (defended by Micah Hyde),2.480,1.500
2,1:54,4,9,BUF 29,21,7,Aldrick Rosas 48 yard field goal no good,1.500,-1.470
2,1:49,1,10,BUF 38,21,7,Josh Allen left end for -2 yards (tackle by B.J. Hill and Lorenzo Carter),1.470,0.650
2,1:42,,,,,,Timeout #1 by New York Giants,,
2,1:42,2,12,BUF 36,21,7,Josh Allen pass complete short right to John Brown for 4 yards (tackle by Alec Ogletree),0.650,0.500
2,1:38,,,,,,Timeout #2 by New York Giants,,
2,1:38,3,8,BUF 40,21,7,"Penalty on Markus Golden: Neutral Zone Infraction, 5 yards (no play)",0.500,1.160
2,1:38,3,3,BUF 45,21,7,"Josh Allen pass incomplete short right. Penalty on Josh Allen: Intentional Grounding (Declined) . Penalty on Cody Ford: Unnecessary Roughness, 15 yards",1.160,-1.370
2,1:32,4,18,BUF 30,21,7,"Corey Bojorquez punts 63 yards, returned by T.J. Jones for 60 yards (tackle by Siran Neal)",-1.370,-3.380
2,1:15,1,10,BUF 33,21,7,Eli Manning pass complete short left to Bennie Fowler for 12 yards (tackle by Levi Wallace),3.380,4.170
2,0:53,1,10,BUF 21,21,7,Eli Manning pass short left (defended by Ed Oliver) intended for Bennie Fowler is intercepted by Trent Murphy at BUF-28 and returned for no gain,4.170,-0.810
2,0:47,1,10,BUF 28,21,7,Josh Allen kneels for -1 yards,0.810,0.130
2,0:31,2,11,BUF 27,21,7,Josh Allen kneels for -1 yards,0.130,-0.690
Quarter,Time,Down,ToGo,Location,BUF,NYG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYG 35,21,7,"Aldrick Rosas kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,BUF 25,21,7,Devin Singletary right tackle for 3 yards (tackle by Ryan Connelly),0.610,0.470
3,14:22,2,7,BUF 28,21,7,Josh Allen pass incomplete short middle intended for Dawson Knox,0.470,-0.230
3,14:17,3,7,BUF 28,21,7,Josh Allen sacked by Olsen Pierre for -5 yards,-0.230,-1.830
3,13:41,4,12,BUF 23,21,7,"Corey Bojorquez punts 53 yards, returned by T.J. Jones for 13 yards (tackle by Lorenzo Alexander)",-1.830,-1.400
3,13:30,1,10,NYG 37,21,7,Saquon Barkley left guard for 3 yards (tackle by Trent Murphy and Micah Hyde),1.400,1.260
3,13:03,2,7,NYG 40,21,7,Eli Manning pass complete short middle to Saquon Barkley for 6 yards (tackle by Tremaine Edmunds),1.260,1.360
3,12:33,3,1,NYG 46,21,7,"Saquon Barkley left guard for 4 yards (tackle by Jordan Poyer). Penalty on Bennie Fowler: Illegal Formation, 5 yards (no play)",1.360,0.700
3,12:04,3,6,NYG 41,21,7,Eli Manning pass complete short right to Cody Latimer for 7 yards (tackle by Tre'Davious White),0.700,2.130
3,11:20,1,10,NYG 48,21,7,Eli Manning pass complete short left to Russell Shepard for 7 yards (tackle by Levi Wallace),2.130,2.530
3,10:39,2,3,BUF 45,21,7,Saquon Barkley up the middle for 4 yards (tackle by Jordan Phillips),2.530,2.850
3,10:04,1,10,BUF 41,21,7,"Eli Manning pass complete short left to Rhett Ellison for 17 yards (tackle by Tremaine Edmunds and Levi Wallace). Penalty on Nate Solder: Offensive Holding, 10 yards (no play)",2.850,2.190
3,9:41,1,20,NYG 49,21,7,Eli Manning pass complete short middle to Rhett Ellison for 8 yards (tackle by Ed Oliver and Tremaine Edmunds),2.190,2.040
3,9:06,2,12,BUF 43,21,7,Eli Manning pass incomplete short right intended for Cody Core,2.040,1.350
3,8:59,3,12,BUF 43,21,7,"Eli Manning sacked by and Harrison Phillips for -9 yards. Eli Manning fumbles (forced by Lorenzo Alexander), recovered by Kevin Zeitler at NYG-48 (tackle by Lorenzo Alexander)",1.350,-0.190
3,8:03,4,21,NYG 48,21,7,"Riley Dixon punts 38 yards, fair catch by Micah Hyde at BUF-14",-0.190,0.280
3,7:55,1,10,BUF 14,21,7,"Penalty on Cody Ford: False Start, 5 yards (no play)",-0.280,-0.570
3,7:55,1,15,BUF 9,21,7,Frank Gore up the middle for 8 yards (tackle by Antoine Bethea and Jabrill Peppers),-0.570,-0.370
3,7:22,2,7,BUF 17,21,7,"Josh Allen pass incomplete short left intended for Zay Jones. Penalty on Deandre Baker: Defensive Pass Interference, 9 yards (no play)",-0.370,0.670
3,7:19,1,10,BUF 26,21,7,Frank Gore right tackle for 2 yards (tackle by Dexter Lawrence),0.670,0.400
