Unnamed: 0,BUF,NYG
First Downs,24,21
Rush-Yds-TDs,34-151-3,20-129-1
Cmp-Att-Yd-TD-INT,19-30-253-1-0,26-45-250-1-2
Sacked-Yards,3-16,1-9
Net Pass Yards,237,241
Total Yards,388,370
Fumbles-Lost,0-0,1-0
Turnovers,0,2
Penalties-Yards,9-65,7-40
Third Down Conv.,5-13,3-12
Fourth Down Conv.,0-0,1-2
Time of Possession,32:38,27:22
