Quarter,Time,Tm,Detail,BUF,NYG
1.0,12:36,Giants,Saquon Barkley 27 yard rush (Aldrick Rosas kick),0,7
,3:43,Bills,Josh Allen 6 yard rush (Stephen Hauschka kick),7,7
2.0,13:24,Bills,Devin Singletary 14 yard rush (Stephen Hauschka kick),14,7
,7:30,Bills,Isaiah McKenzie 14 yard pass from Josh Allen (Stephen Hauschka kick),21,7
4.0,11:56,Giants,T.J. Jones 4 yard pass from Eli Manning (Aldrick Rosas kick),21,14
,5:53,Bills,Frank Gore 1 yard rush (Stephen Hauschka kick),28,14
