Unnamed: 0,LAR,NOR
First Downs,13,27
Rush-Yds-TDs,17-69-0,32-209-2
Cmp-Att-Yd-TD-INT,20-32-214-3-1,29-37-360-5-0
Sacked-Yards,3-36,2-14
Net Pass Yards,178,346
Total Yards,247,555
Fumbles-Lost,1-1,2-1
Turnovers,2,1
Penalties-Yards,6-62,6-45
Third Down Conv.,2-10,6-13
Fourth Down Conv.,0-1,2-2
Time of Possession,24:04,35:56
